------,--------------,-----------,---------------------,------,-----------,----------------,-----,-----------
#,NAME,,P0,,,P1,,
,,,(s),,,,,
------,--------------,-----------,---------------------,------,-----------,----------------,-----,-----------
73,J0100+8023,scb+19,1.4936009186,2,tbc+20,3.543E-16,6,tbc+20
74,J0100-7211,lfmp02,8.020392,9,mgr+05,1.88E-11,8,mgr+05
75,J0101-6422,kcj+12,0.0025731519721683,2,kcj+12,5.16E-21,3,kcj+12
,,,,,,,,
76,J0102+4839,hrm+11,0.0029641124215882,8,saa+23,1.141E-20,4,saa+23
77,B0059+65,dbtb82,1.679164229064,12,hlk+04,5.95492E-15,9,hlk+04
78,J0103+54,kkl+15,0.354304,6,kkl+15,*,0,*
79,J0104+64,mss+20,1.386,0,mss+20,*,0,*
80,J0105-7208,cls+24,306.7e-3,0,cls+24,*,0,*
,,,,,,,,
81,J0106+4855,pga+12,0.0831573050050,6,pga+12,4.2792E-16,5,pga+12
82,J0107+1322,scb+19,1.197383,0,dmo+24,6.87E-16,3,tbc+20
83,B0105+65,dls72,1.2836598429,5,hlk+04,1.3051E-14,3,hlk+04
84,B0105+68,dtws85,1.071118109859,5,hlk+04,4.809E-17,4,hlk+04
85,J0108-1431,tnj+94,0.807564614019,20,hlk+04,7.704E-17,12,hlk+04
,,,,,,,,
86,J0109+11,tkt22,0.4327,0,tkt22,*,0,*
87,J0110-22,mss+20,1.262,0,mss+20,*,0,*
88,J0110-2223,msk+24,1.26195969349,4,msk+24,6.2E-16,4,msk+24
89,J0111+6624,slr+14,4.3018721008,4,lsk+18,8.36E-15,17,lsk+18
90,J0111-7131,mfl+06,0.68854151164,5,mfl+06,7.092E-15,4,mfl+06
,,,,,,,,
91,J0113-7220,ckm+01,0.325883016130,10,ckm+01,4.8590E-15,15,ckm+01
92,J0115+6325,scb+19,0.521455427473,5,mbc+20,1.599E-15,3,mbc+20
93,B0114+58,stwd85,0.1014390664824,20,hlk+04,5.849955E-15,17,hlk+04
94,J0120+1837,msk+24,1.313385299555,4,msk+24,1.36E-17,4,msk+24
95,J0121+53,gac+21,2.7247846,4,gac+21,*,0,*
,,,,,,,,
96,J0122+1416,ttk+17,1.388994,0,dmo+24,3.8030E-15,10,mbc+20
97,J0125+62,slr+14,1.70823,10,slr+14,*,0,*
98,J0125-2327,mbc+19,0.003675374887568884,14,cpb+23,1.84160E-20,14,cpb+23
99,J0129+36,ttk+24,1.089,5,ttk+24,*,0,*
100,J0131-7310,mfl+06,0.348124045581,7,mfl+06,1.7614E-15,7,mfl+06
,,,,,,,,
101,J0133-6957,lml+98,0.463473741703,3,dsb+98,1.200E-16,2,dsb+98
102,J0134-2937,mld+96,0.136961610513651,14,lwy+16,7.83699E-17,3,lwy+16
103,J0137+1654,lxf+05,0.414763,0,dmo+24,1.223E-17,3,lxf+05
104,J0137+6349,slr+14,0.717962726847,6,lsk+18,9.60E-16,5,lsk+18
105,J0139+3336,ttm+18,1.24796095570,10,mbc+20,2.064E-15,8,mbc+20
,,,,,,,,
106,J0139+5621,cvh+14,1.77534382596,10,cvh+14,7.9096E-14,3,cvh+14
107,B0136+57,dth78,0.272450630949,15,hlk+04,1.071167E-14,12,hlk+04
108,B0138+59,mth72,1.2229485205457,18,hlk+04,3.91070E-16,14,hlk+04
109,J0141+63,slr+14,0.0466859,5,slr+14,*,0,*
110,J0141+6303,flm+23,0.04668027530771,3,msk+24,1.6462E-18,3,msk+24
,,,,,,,,
111,J0146+31,ttol16,0.9381,0,ttol16,*,0,*
112,J0146+6145,ims94,8.6889941,4,dk14,1.99E-12,5,dk14
113,B0144+59,stwd85,0.19632137543003,16,ywml10,2.56763E-16,8,ywml10
114,J0149+29,ttk+24,2.654,10,ttk+24,*,0,*
115,B0148-06,mlt+78,1.464664549334,7,hlk+04,4.4259E-16,5,hlk+04
,,,,,,,,
116,J0152+0948,clm+05,2.746647,0,dmo+24,1.700E-15,4,clm+05
117,B0149-16,mlt+78,0.8327416126878,13,hlk+04,1.299202E-15,6,hlk+04
118,J0154+1833,mgf+19,0.0023645697763006,5,mgf+19,2.919E-21,12,mgf+19
119,J0156+04,dsm+16,*,0,*,*,0,*
120,B0153+39,dtws85,1.81156061131,10,hlk+04,1.516E-16,10,hlk+04
,,,,,,,,
