------,--------------,-----------,---------------------,------,-----------,----------------,-----,-----------
#,NAME,,P0,,,P1,,
,,,(s),,,,,
------,--------------,-----------,---------------------,------,-----------,----------------,-----,-----------
870,J1320-3512,mld+96,0.45848840672,7,dsb+98,1.9E-18,8,dsb+98
,,,,,,,,
871,B1317-53,mlt+78,0.2797376832822,8,jbv+19,9.24577E-15,8,jbv+19
872,B1322+83,dbtb82,0.670037418386,3,hlk+04,5.6630E-16,3,hlk+04
873,J1321-5922,kel+09,1.27905759523,7,kel+09,2.37E-15,3,kel+09
874,J1322-62,kek+13,1.044851,4,kek+13,*,0,*
875,J1322-6241,mlc+01,0.50605841373,5,mlc+01,2.587E-15,18,mlc+01
,,,,,,,,
876,J1322-6329,kbm+03,2.7642094208,5,kbm+03,1.108E-14,10,kbm+03
877,J1324-6146,kbm+03,0.8441085753,3,kbm+03,5.58E-15,14,kbm+03
878,J1324-6302,kbm+03,2.48380369300,10,kbm+03,9.79E-16,9,kbm+03
879,J1325-6253,sbs+22,0.02896859323602,4,sbs+22,4.80E-20,14,sbs+22
880,J1326+33,ttm18,0.0415,0,ttm18,*,0,*
,,,,,,,,
881,J1326-4728A,djk+20,0.0041087861921903,12,djk+23,2.7383E-20,17,djk+23
882,J1326-4728B,djk+20,0.0047918691610141,17,djk+23,-5.433E-20,5,djk+23
883,J1326-4728C,djk+20,0.006867859692329,5,djk+23,9.81E-21,10,djk+23
884,J1326-4728D,djk+20,0.0045788334684104,5,djk+23,-4.109E-20,5,djk+23
885,J1326-4728E,djk+20,0.0042077170407406,4,djk+23,1.6278E-20,11,djk+23
,,,,,,,,
886,B1323-58,mlt+78,0.477993612757,5,jbv+19,3.24180E-15,19,jbv+19
887,B1323-63,mlt+78,0.79267387666,6,lbs+20,3.090331E-15,13,lbs+20
888,B1322-66,mlt+78,0.543015040685,18,jbv+19,5.3262E-15,12,jbv+19
889,J1327+3423,flm+23,0.0415127097404740,4,msk+24,1.29303E-19,4,msk+24
890,J1327-0755,blr+13,0.00267792323878083,8,saa+23,1.8048E-21,6,saa+23
,,,,,,,,
891,B1323-62,kac+73,0.529929186747,9,jbv+19,1.87920E-14,3,jbv+19
892,B1323-627,jlm+92,0.1964799448668,16,lbs+20,1.529941E-15,4,lbs+20
893,J1327-6400,mlc+01,0.280677974168,13,mlc+01,3.1177E-14,4,mlc+01
894,B1325-43,mlt+78,0.53269880337,13,nmc81,3.014E-15,6,nmc81
895,B1325-49,mlt+78,1.4787213559,4,nmc81,6.1E-16,2,nmc81
,,,,,,,,
896,J1328-62,sbb+23,528.85764e-3,0,mmr+24,*,0,*
897,J1328-6605,pbs+23,0.734367,3,pbs+23,*,0,*
898,J1329+13,ttm+18,*,0,*,*,0,*
899,J1329-6158,kbm+03,1.5652179638,8,kbm+03,3.39E-14,3,kbm+03
900,J1331-5245,kjv+10,0.6481166471,2,bbb+12,5.10E-16,9,bbb+12
,,,,,,,,
901,J1332-03,kkl+15,1.10640,5,kkl+15,*,0,*
902,J1332-3032,lml+98,0.650434490647,17,hlk+04,5.603E-16,4,hlk+04
903,J1333-4449,jbo+09,0.345602948594,3,jbo+09,5.4E-19,19,jbo+09
904,J1334+10,scb+19,0.9111,0,scb+19,*,0,*
905,J1334-5839,mld+96,0.1077182159234,2,dsb+98,2.1596E-17,4,dsb+98
,,,,,,,,
906,J1335-3642,mld+96,0.399192,3,mld+96,*,0,*
907,J1335-5656,nie+20,0.003238,0,nie+20,1.21e-20,0,nie+20
908,J1336+33,ttm+18,3.0130,0,ttm18,*,0,*
909,J1336-2522,kmk+18,0.478145482800,6,kmk+18,3.306E-16,5,kmk+18
910,J1337-4441,kbj+18,1.25751149260,4,sfj+20,3.031E-16,5,sfj+20
,,,,,,,,
911,J1337-6306,hfs+04,0.207953012189,4,hfs+04,3.558E-16,3,hfs+04
912,J1337-6423,kjb+12,0.009423406717798,17,nbb+14,2.469E-20,18,nbb+14
913,B1334-61,jlm+92,1.23900057924,4,lbs+20,1.37911E-14,10,lbs+20
914,J1338-6425,pbs+23,0.0040877977,13,pbs+23,*,0,*
915,J1339-4712,jbo+09,0.1370546579332,4,jbo+09,5.3E-19,2,jbo+09
,,,,,,,,
916,J1339-6618,kbm+03,0.55817922185,5,kbm+03,3.5E-16,3,kbm+03
917,B1336-64,mlt+78,0.37862206628,4,nmc81,5.0512E-15,16,nmc81
918,J1341-6023,mlc+01,0.627285365870,16,mlc+01,1.9462E-14,8,mlc+01
919,B1338-62,mdt85,0.193339746306,19,wmp+00,2.53107E-13,3,wmp+00
920,J1342+2822A,hrs+07,0.00254473838,4,pqm+21,*,0,*
,,,,,,,,
921,J1342+2822B,hrs+07,0.0023894207577860,10,hrs+07,1.858E-20,4,hrs+07
922,J1342+2822C,hrs+07,0.0021660,10,hrs+07,*,0,*
923,J1342+2822D,hrs+07,0.00544297517,6,hrs+07,*,0,*
924,J1342+2822E,pqm+21,0.00547,0,pqm+21,*,0,*
925,J1342+2822F,pqm+21,0.0044,0,pqm+21,*,0,*
,,,,,,,,
926,J1343+6634,mhl+18,1.394103785540,10,mbc+20,1.0882E-15,7,mbc+20
927,J1344-5855,ccb+20,0.252397929468,5,ccb+20,2.9145E-15,17,ccb+20
928,J1344-6059,kbm+03,0.54010232140,6,kbm+03,4.3E-17,4,kbm+03
929,J1345-6115,mlc+01,1.25308459010,18,mlc+01,3.25E-15,8,mlc+01
930,J1346-4918,bbb+12,0.2996251068,2,bbb+12,3.5E-17,3,bbb+12
,,,,,,,,
931,J1347-5947,mlc+01,0.609961754304,15,mlc+01,1.4160E-14,7,mlc+01
932,J1348-6307,mlc+01,0.9277722389,3,mlc+01,3.79E-15,7,mlc+01
933,J1349-6130,mlc+01,0.259364764102,13,psj+19,5.11709E-15,3,psj+19
934,J1349-63,ncb+15,0.37303400,10,ncb+15,*,0,*
935,J1350-5115,lml+98,0.295699706346,7,lbs+20,7.57513E-16,18,lbs+20
,,,,,,,,
936,J1350-6225,cwp+17,0.1381577782128,12,cwp+17,8.88351E-15,4,cwp+17
937,J1352-6141,pbs+23,0.0047383371,7,pbs+23,*,0,*
938,J1352-6803,ebvb01,0.628902546380,16,ebvb01,1.234E-15,3,ebvb01
939,J1353-6341,pbs+23,2.0762,8,pbs+23,*,0,*
940,J1354+2453,msk+24,0.851063907874,6,msk+24,1.4007E-16,7,msk+24
,,,,,,,,
941,J1354+2454,mss+20,6.27,0,dmo+24,*,0,*
942,J1354-6249,kbm+03,2.951938334,3,kbm+03,1.48E-14,11,kbm+03
943,B1352-51,mlt+78,0.644304508167,13,lbs+20,2.81191E-15,5,lbs+20
944,J1355-5747,lfl+06,2.0386738254,4,lfl+06,7.1E-16,9,lfl+06
945,J1355-5925,kbm+03,1.21338122674,5,kbm+03,5.986E-15,11,kbm+03
,,,,,,,,
946,J1355-6206,kbm+03,0.276603043150,10,kbm+03,3.1E-18,6,kbm+03
947,J1356-5521,mld+96,0.507379566696,6,dsb+98,7.2350E-16,10,dsb+98
948,J1357-2530,mld+96,0.9129710,10,dsb+98,*,0,*
949,B1353-62,kac+73,0.4557610,10,jlm+92,*,0,*
950,J1357-6429,lfl+06,0.166108327507,14,lfl+06,3.601843E-13,14,lfl+06
,,,,,,,,
951,J1358-59,sbb+23,374.11984e-3,0,mmr+24,*,0,*
952,J1358-6025,nie+20,0.060533,0,nie+20,3.02e-15,0,nie+20
953,B1356-60,mlt+78,0.1275084662167,4,jbv+19,6.330280E-15,12,jbv+19
954,J1359-6242,pbs+23,0.899747,13,pbs+23,*,0,*
955,J1400+21,ttm18,*,0,*,*,0,*
,,,,,,,,
956,J1400-1431,rsm+13,0.00308423326039194,8,skm+17,7.2333E-21,15,skm+17
957,J1400-6325,rmg+10,0.0311816011,3,rmg+10,3.890E-14,6,rmg+10
958,B1358-63,mlt+78,0.84280532179,6,lbs+20,1.68254E-14,4,lbs+20
959,J1402+1306,aab+22,0.005892408636028,5,saa+23,1.346E-20,3,saa+23
960,B1359-51,vl70,1.380182295,4,lbs+20,5.413E-15,4,lbs+20
,,,,,,,,
961,J1403-0314,mbc+19,0.362634,0,mbc+19,*,0,*
962,J1403-6310,kbm+03,0.39917017693,5,kbm+03,9.0E-17,20,kbm+03
963,J1403-7646,lml+98,1.3061978120,8,ebvb01,1.204E-15,16,ebvb01
964,J1404+1159,cha03,2.65043929892,4,mbc+20,1.3768E-15,6,mbc+20
965,J1405-4656,btb+15,0.007602203432510,10,btb+15,2.79E-20,4,btb+15
,,,,,,,,
966,J1405-5641,lfl+06,0.61757468514,4,lfl+06,1.198E-15,12,lfl+06
967,J1406-4233,kbj+18,2.43679543159,18,sfj+20,6.81E-16,3,sfj+20
968,J1406-5806,kbm+03,0.28834924425,5,kbm+03,6.11E-16,10,kbm+03
969,J1406-59,sbb+23,1248.31764e-3,0,mmr+24,*,0,*
970,J1406-6121,mlc+01,0.213074653776,14,mlc+01,5.4701E-14,3,mlc+01
,,,,,,,,
971,J1407-6048,mlc+01,0.49234420664,5,mlc+01,3.156E-15,8,mlc+01
972,J1407-6153,mlc+01,0.7016149492,3,mlc+01,8.85E-15,7,mlc+01
973,J1408-6009,pbs+23,0.567635,6,pbs+23,*,0,*
974,J1409+49,ttk+24,1.125,5,ttk+24,*,0,*
975,J1409-6011,pbs+23,0.3005806,13,pbs+23,*,0,*
,,,,,,,,
976,J1409-6953,bbb+12,0.5285907792,3,bbb+12,8.40E-16,10,bbb+12
977,J1410-6132,ojk+08,0.0500519462,0,ojk+08,32E-15,0,ojk+08
978,J1410-7404,eb01b,0.2787294436271,15,eb01b,6.74E-18,9,eb01b
979,J1411+2551,msf+17,0.062453,0,dmo+24,9.6E-20,6,msf+17
980,J1412+7922,zhi+11,0.058199071070,18,bhe+19,3.2913E-15,3,bhe+19
,,,,,,,,
981,J1412-6111,mlc+01,0.52915639797,4,mlc+01,1.91E-15,3,mlc+01
982,J1412-6145,mlc+01,0.31525843337,13,psj+19,9.9033E-14,4,psj+19
983,J1413-5936,pbs+23,0.02167625,4,pbs+23,*,0,*
984,J1413-6141,kbm+03,0.28562462018,16,kbm+03,3.3344E-13,15,kbm+03
985,J1413-6205,sdz+10,0.10974069969,3,sdz+10,2.7680E-14,4,sdz+10
,,,,,,,,
986,J1413-6222,mlc+01,0.29240770249,3,mlc+01,2.229E-15,6,mlc+01
987,B1409-62,jlm+92,0.394945790784,2,jml+95,7.4343E-15,2,jml+95
988,J1414-6802,ebvb01,4.6301880619,4,ebvb01,6.39E-15,7,ebvb01
989,J1415-6621,ebvb01,0.39247897310,5,hfs+04,5.800E-16,10,hfs+04
990,J1416-5033,bbb+12,0.794882546,2,bbb+12,1.2E-16,5,bbb+12
,,,,,,,,
991,J1416-6037,mlc+01,0.29558048193,3,mlc+01,4.280E-15,15,mlc+01
992,J1417-4402,crr+16,0.0026642160,4,crr+16,*,0,*
993,J1418-3921,mld+96,1.09680600340,2,dsb+98,8.892E-16,3,dsb+98
994,J1418-5945,kbm+03,1.6725956812,3,kbm+03,2.71E-16,17,kbm+03
995,J1418-6058,aaa+09c,0.110573011690,13,rkp+11,1.69394E-13,10,rkp+11
,,,,,,,,
996,B1417-54,mlt+78,0.935772204694,18,lbs+20,2.3218E-16,7,lbs+20
997,J1420-5625,hfs+04,0.03411713084786,12,hfs+04,6.8E-20,17,hfs+04
998,J1420-6048,dkm+01,0.06817987659,2,dkm+01,8.3167E-14,3,dkm+01
999,J1421-4409,kbj+18,0.00638572883834240,10,sfj+20,1.2366E-20,7,sfj+20
1000,J1422-6138,pga+13,0.34096785164,12,pga+13,9.6836E-14,11,pga+13
,,,,,,,,
1001,J1423-6953,ebvb01,0.333410710172,3,jbo+09,1.45130E-15,6,jbo+09
1002,J1424-5556,hfs+04,0.770374845874,18,hfs+04,7.80E-16,3,hfs+04
1003,J1424-56,kle+10,1.427,0,kkl+11,*,0,*
1004,J1424-5822,kbm+03,0.36673618809,13,lbs+20,3.9356E-15,3,lbs+20
1005,J1424-6438,kbm+03,1.02350369913,9,kbm+03,2.4E-16,7,kbm+03
,,,,,,,,
1006,J1425-5723,kbm+03,0.35326292024,8,kbm+03,2.2E-17,2,kbm+03
1007,J1425-5759,kbm+03,0.70786760576,4,kbm+03,7.42E-16,16,kbm+03
1008,J1425-6210,mlc+01,0.50173030987,8,mlc+01,4.8E-16,4,mlc+01
1009,J1426+52,scb+19,0.9958,0,scb+19,*,0,*
1010,J1426-6136,pbs+23,0.2837001,6,pbs+23,*,0,*
,,,,,,,,
1011,J1427-4158,jbo+09,0.586485556229,18,jbo+09,6.212E-16,7,jbo+09
1012,B1424-55,mlt+78,0.570292409826,4,lbs+20,2.086574E-15,14,lbs+20
1013,J1429-5911,sdz+10,0.11584261008,3,sdz+10,3.0500E-14,3,sdz+10
1014,J1429-5935,mlc+01,0.76391483053,8,mlc+01,4.2751E-14,9,mlc+01
1015,J1430-5712,ccb+20,0.491518803580,9,ccb+20,4.69408E-14,16,ccb+20
,,,,,,,,
1016,B1426-66,lvw68,0.7854433453623,7,jbv+19,2.77752E-15,5,jbv+19
1017,J1431-4715,btb+15,0.0020119534425332,9,btb+15,1.411E-20,3,btb+15
1018,J1431-5740,bbb+13,0.0041105439567658,12,bbb+13,6.42E-21,12,bbb+13
1019,J1431-6328,kdl+19,0.00277229565,2,kdl+19,*,0,*
1020,J1432-5032,kjv+10,2.0349894792,3,bbb+12,5.924E-15,8,bbb+12
,,,,,,,,
1021,J1433+00,dsm+16,*,0,*,*,0,*
1022,J1433-6038,kel+09,1.9544296353,5,kel+09,5.63E-15,4,kel+09
1023,J1434+7257,slr+14,0.0417411478797642,18,flm+23,5.4841E-19,7,flm+23
1024,J1434-5943,ccb+20,1.07212121207,3,ccb+20,2.96E-17,18,ccb+20
1025,J1434-6006,kbm+03,0.30636786268,4,kbm+03,3.020E-15,17,kbm+03
,,,,,,,,
1026,J1434-6029,mlc+01,0.96334832315,16,mlc+01,1.03E-15,8,mlc+01
1027,J1435-5954,hfs+04,0.472996377203,9,lbs+20,1.54793E-15,3,lbs+20
1028,J1435-60,sbb+23,3262.16598e-3,0,mmr+24,*,0,*
1029,J1435-6100,clm+01,0.009347972210248,7,clm+01,2.45E-20,5,clm+01
1030,J1436-6405,pbs+23,0.009332971,4,pbs+23,*,0,*
,,,,,,,,
1031,J1437-5959,cng+09,0.0616961234035,9,cng+09,8.5870E-15,5,cng+09
1032,J1437-6146,hfs+04,0.46761632345,7,hfs+04,6.3304E-15,9,hfs+04
1033,J1437-62,sbb+23,777.99437e-3,0,mmr+24,*,0,*
1034,J1439+7655,kkl+15,0.947903,2,kkl+15,*,0,*
1035,J1439-5501,fsk+04,0.028634888190455,12,lfl+06,1.418E-19,10,lfl+06
,,,,,,,,
1036,B1436-63,mlt+78,0.459606723901,7,jbv+19,1.1208E-15,5,jbv+19
1037,J1441-6137,kbm+03,1.17584002290,10,kbm+03,3.6E-16,5,kbm+03
1038,J1443-5122,kjv+10,0.7320612647,5,bbb+12,3.38E-16,9,bbb+12
1039,J1444+18,ttk+24,1.1326,5,ttk+24,*,0,*
1040,J1444-5941,mlc+01,2.7602279448,6,mlc+01,8.2E-15,3,mlc+01
,,,,,,,,
1041,J1444-6026,mll+06,4.7585755679,2,mlk+09,1.8542E-14,8,mlk+09
1042,J1446-4701,kjb+12,0.002194695780881595,15,rsc+21,9.8075E-21,3,rsc+21
1043,J1447-5757,nie+20,0.158730,0,nie+20,1.17e-14,0,nie+20
1044,J1449-5846,kbm+03,0.463329577191,18,kbm+03,8.6E-17,9,kbm+03
1045,J1449-6339,pbs+23,0.02946618,13,pbs+23,*,0,*
,,,,,,,,
1046,J1452-5549,pbs+23,0.0752527,5,pbs+23,*,0,*
1047,J1452-5851,mlc+01,0.3866429281059,3,psj+19,5.07021E-14,3,psj+19
1048,J1452-6036,kbm+03,0.1549921917383,5,jks21,1.45056E-15,5,jks21
1049,J1453+1902,lmcs07,0.00579230273884754,11,aab+21a,1.1656E-20,5,aab+21a
1050,B1449-64,lvw69a,0.1794877208640,10,ldy+23,2.7449E-15,3,ldy+23
,,,,,,,,
1051,J1454-5416,pbs+23,0.3964593,6,pbs+23,*,0,*
1052,J1454-5846,clm+01,0.04524877299803,11,clm+01,8.17E-19,9,clm+01
1053,J1455-3330,lnl+95,0.00798720492933221,13,abb+23,2.43041E-20,7,abb+23
1054,J1455-59,kek+13,0.1761912,2,kek+13,*,0,*
1055,J1456-48,bcm+16,0.53681,0,bcm+16,*,0,*
,,,,,,,,
1056,B1451-68,lvw68,0.2633769071818,5,jbv+19,9.895E-17,3,jbv+19
1057,B1454-51,mlt+78,1.74830750523,7,lbs+20,5.2972E-15,3,lbs+20
1058,J1457-5900,kbm+03,1.4986374368,4,kbm+03,3.66E-15,7,kbm+03
1059,J1457-5902,kbm+03,0.39073936418,5,kbm+03,1.2306E-14,14,kbm+03
1060,J1459-6053,aaa+09c,0.103150638274,11,rkp+11,2.52704E-14,6,rkp+11
,,,,,,,,
1061,J1500-6054,pbs+23,0.2136614,11,pbs+23,*,0,*
1062,J1501-0046,lbr+13,0.464036813928,9,lbr+13,2.39E-16,6,lbr+13
1063,J1501-5637,kbm+03,0.7829485661,3,kbm+03,1.7E-16,8,kbm+03
1064,J1502+28,ttm18,3.7840,0,ttm18,*,0,*
1065,J1502+4653,ccl+21,1.75250806376,4,ccl+21,1.72E-16,10,ccl+21
,,,,,,,,
1066,J1502-5653,hfs+04,0.535504397790,3,hfs+04,1.8286E-15,3,hfs+04
1067,J1502-5828,kbm+03,0.66810515091,14,kbm+03,3.640E-14,8,kbm+03
1068,J1502-6128,kbm+03,0.84210384000,3,kbm+03,1.348E-15,7,kbm+03
1069,J1502-6752,kjb+12,0.02674442376700,6,nbb+14,3.145E-19,14,nbb+14
1070,J1503+2111,clm+05,3.314002,0,dmo+24,1.4E-16,2,clm+05
,,,,,,,,
1071,J1504-5621,kbm+03,0.41298519981,3,kbm+03,5.529E-15,12,kbm+03
1072,J1504-5659,ccb+20,1.67237234272,3,ccb+20,1.428E-15,3,ccb+20
1073,J1505-25,mss+20,0.999,0,mss+20,*,0,*
1074,J1505-2524,flm+23,0.999250334783,9,flm+23,9.797E-16,6,flm+23
1075,B1503-51,mlt+78,0.840738545,3,nmc81,6.37E-15,14,nmc81
,,,,,,,,
1076,B1504-43,mlt+78,0.2867584998375,9,lbs+20,1.58435E-15,5,lbs+20
1077,J1507-5800,ccb+20,0.897254102404,11,ccb+20,2.603E-16,6,ccb+20
1078,B1503-66,mlt+78,0.355656301098,12,lbs+20,1.15191E-15,3,lbs+20
1079,B1508+55,htg+68,0.739681922904,4,hlk+04,4.99821E-15,4,hlk+04
1080,J1509-5850,kbm+03,0.088924862943,6,psj+19,9.16633E-15,13,psj+19
,,,,,,,,
1081,J1509-6015,kbm+03,0.33903844870,4,kbm+03,2.121E-15,12,kbm+03
1082,B1507-44,mlt+78,0.9438712975,11,nmc81,6.1E-16,4,nmc81
1083,J1510-5254,pbs+23,0.0047790328,9,pbs+23,*,0,*
1084,J1511-5414,kbm+03,0.200383946403,4,lbs+20,4.8474E-16,9,lbs+20
1085,J1511-5835,kbm+03,0.30151055002,4,kbm+03,3.44E-16,19,kbm+03
,,,,,,,,
1086,J1512-5431,kbm+03,2.0405315742,3,kbm+03,1.92E-15,6,kbm+03
1087,B1508-57,jlm+92,0.128698573047,3,psj+19,6.852697E-15,4,psj+19
1088,J1512-6029,pbs+23,0.2295951,17,pbs+23,*,0,*
1089,J1513-2550,san16,0.00211906756511770,10,san16,2.161E-20,2,san16
1090,J1513-5739,mlc+01,0.97345803480,9,mlc+01,2.755E-14,4,mlc+01
,,,,,,,,
1091,B1509-58,sh82,0.151581943393,5,psj+19,1.52868977E-12,7,psj+19
1092,J1513-5946,kle+10,1.046117156733,8,kkl+11,8.5284E-15,4,kkl+11
1093,J1513-6013,ccb+20,1.95873704232,12,ccb+20,1.371E-15,8,ccb+20
1094,B1510-48,mlt+78,0.454840332571,7,lbs+20,9.26101E-16,19,lbs+20
1095,J1514-4946,kcj+12,0.0035893366796749,7,ckr+15,1.8646E-20,11,ckr+15
,,,,,,,,
1096,J1514-5316,ccb+20,0.296279212139,4,ccb+20,1.6E-18,5,ccb+20
1097,J1514-5925,kbm+03,0.1487974678456,18,psj+19,2.8786E-15,4,psj+19
1098,J1515+20,ttk+24,1.147,5,ttk+24,*,0,*
1099,J1515-5720,kbm+03,0.286648256081,14,psj+19,6.093718E-15,17,psj+19
1100,J1516-43,brs+19,0.036022209,3,brs+19,*,0,*
,,,,,,,,
1101,J1517-313,srp+22,0.14066770,10,srp+22,*,0,*
1102,J1517-314,srp+22,1.1037264,4,srp+22,*,0,*
1103,J1517-32,mbc+19,0.0644019,0,mbc+19,*,0,*
1104,J1517-4356,ebvb01,0.650836871901,6,ebvb01,2.155E-16,6,ebvb01
1105,J1517-4636,kjv+10,0.88661249686,5,bbb+12,2.098E-15,2,bbb+12
,,,,,,,,
1106,B1516+02A,wakp89,0.00555359254401101,7,zfr+23,4.12986E-20,10,zfr+23
1107,B1516+02B,wakp89,0.007946940656271776,13,zfr+23,-3.3080E-21,19,zfr+23
1108,J1518+0204C,hrs+07,0.00248392757283615,3,zfr+23,2.60792E-20,3,zfr+23
1109,J1518+0204D,hrs+07,0.00298797632764647,18,zfr+23,2.21792E-20,6,zfr+23
1110,J1518+0204E,hrs+07,0.00318230035091139,11,zfr+23,1.79390E-20,5,zfr+23
,,,,,,,,
1111,J1518+0204F,pqm+21,0.0026541917974828,15,zfr+23,2.212E-20,15,zfr+23
1112,J1518+0204G,zfr+23,0.00275018678885842,16,zfr+23,1.247E-20,3,zfr+23
1113,J1518+4904,nst96,0.0409349889083329,6,jsk+08,2.7190E-20,3,jsk+08
1114,J1518-0627,lbr+13,0.794996674570,8,lbr+13,4.18E-16,6,lbr+13
1115,J1518-3952,bsb+19,0.499195890475,15,bsb+19,2.37E-16,8,bsb+19
,,,,,,,,
1116,J1518-5415,kel+09,0.214924800284,6,kel+09,4.06E-17,14,kel+09
1117,J1519-5734,lfl+06,0.51875778474,3,lfl+06,4.273E-15,5,lfl+06
1118,J1519-6106,lfl+06,2.15430706064,14,lfl+06,8.372E-15,19,lfl+06
1119,J1519-6308,hfs+04,1.25405163056,10,hfs+04,5.96E-15,5,hfs+04
1120,J1520-5402,pbs+23,0.2706992,14,pbs+23,*,0,*
,,,,,,,,
1121,J1522-5525,kbm+03,1.3896046876,16,kbm+03,3.30E-15,8,kbm+03
1122,J1522-5735,pga+13,0.10213598087,4,pga+13,3.1239E-14,3,pga+13
1123,B1518-58,jlm+92,0.395354481573,15,lbs+20,2.05679E-15,7,lbs+20
1124,J1523-3235,sfj+20,1.5048345580,3,sfj+20,9.53E-16,10,sfj+20
1125,J1524-5625,kbm+03,0.078218548881,5,kbm+03,3.895005E-14,19,kbm+03
,,,,,,,,
1126,J1524-5706,kbm+03,1.11617445717,12,psj+19,3.563574E-13,3,psj+19
1127,J1524-5819,kel+09,0.96104262694,10,kel+09,1.26016E-13,10,kel+09
1128,J1525-5417,kbm+03,1.01169421772,7,kbm+03,1.6174E-14,14,kbm+03
1129,J1525-5523,ncb+15,0.3551560369998,16,ncb+15,8.96E-18,7,ncb+15
1130,J1525-5545,nbb+14,0.011359881791767,19,nbb+14,1.314E-19,6,nbb+14
,,,,,,,,
1131,J1525-5605,kbm+03,0.28034866206,4,kbm+03,1.16E-16,7,kbm+03
1132,J1526-2744,cbb+23,0.0024891435871920,19,saa+23,3.537E-21,9,saa+23
1133,J1526-5633,kbm+03,0.30188789663,5,kbm+03,1.23E-16,17,kbm+03
1134,J1526-5652,pbs+23,0.848913,3,pbs+23,*,0,*
1135,B1524-39,mlt+78,2.41760539437,6,lbs+20,1.90612E-14,3,lbs+20
,,,,,,,,
1136,B1523-55,mlt+78,1.048718553809,5,lbs+20,1.12685E-14,3,lbs+20
1137,J1528-3146,jbo+07,0.060822231369657,5,bgf+23,2.4850E-19,4,bgf+23
1138,J1528-4109,ebvb01,0.526556139140,4,ebvb01,3.955E-16,4,ebvb01
1139,J1528-5547,ncb+15,3.4673015170,17,ncb+15,7.75E-15,2,ncb+15
1140,J1528-5838,cwp+17,0.355686622097,8,cwp+17,2.475859E-14,13,cwp+17
,,,,,,,,
1141,J1529+40,ttk+17,0.4764,0,scb+19,*,0,*
1142,J1529-26,mss+20,0.799,0,mss+20,*,0,*
1143,J1529-3828,nbb+14,0.00848628211574,6,nbb+14,2.70E-20,13,nbb+14
1144,J1529-5102,pbs+23,1.268454,8,pbs+23,*,0,*
1145,J1529-5355,kbm+03,0.8912645399,4,kbm+03,8.1E-16,4,kbm+03
,,,,,,,,
1146,J1529-5609,pbs+23,0.03603232,3,pbs+23,*,0,*
1147,J1529-5611,kbm+03,0.8222487311,5,kbm+03,4.1E-15,3,kbm+03
1148,J1530-21,mss+20,0.505,0,mss+20,*,0,*
1149,J1530-2114,flm+23,0.505338870593,6,flm+23,4.640E-16,3,flm+23
1150,J1530-5327,mlc+01,0.278958414924,4,psj+19,4.67985E-15,8,psj+19
,,,,,,,,
1151,J1530-5724,pbs+23,0.5680300,13,pbs+23,*,0,*
1152,J1530-6343,bbb+12,0.910319586358,11,bsb+19,8.25E-16,7,bsb+19
1153,J1531-4012,ebvb01,0.356849312855,6,ebvb01,9.63E-17,6,ebvb01
1154,J1531-5610,kbm+03,0.084206064052,3,psj+19,1.379389E-14,10,psj+19
1155,B1530+27,dth78,1.124835742767,7,hlk+04,7.7956E-16,6,hlk+04
,,,,,,,,
1156,J1532-5308,kbm+03,0.44382460830,4,kbm+03,6.5E-17,6,kbm+03
1157,J1532-56,ncb+15,0.52297708597,13,ncb+15,*,0,*
1158,J1534-4428,bbb+12,1.2214259588,3,bbb+12,1.8E-16,2,bbb+12
1159,J1534-46,bb10,0.364835,9,bb10,*,0,*
1160,B1530-53,lvw69a,1.368882242545,6,jbv+19,1.4288E-15,4,jbv+19
,,,,,,,,
1161,B1530-539,jlm+92,0.289688895200,6,jml+95,1.5429E-15,4,jml+95
1162,J1535-4114,ebvb01,0.432866133845,6,ebvb01,4.0705E-15,6,ebvb01
1163,J1535-4415,ebvb01,0.46840160422,3,jbo+09,4.05E-17,9,jbo+09
1164,J1535-5450,kbm+03,0.56673415672,4,kbm+03,1.4338E-14,10,kbm+03
1165,J1535-5848,kbm+03,0.307177662775,7,kbm+03,2.716E-15,3,kbm+03
,,,,,,,,
1166,J1536+17,ttk+17,0.9333,0,ttk+17,*,0,*
1167,J1536-30,mss+20,1.901,0,mss+20,*,0,*
1168,J1536-3602,jbo+09,1.31975904174,5,jbo+09,7.900E-16,19,jbo+09
1169,J1536-4948,brj+21,0.0030799140584053,6,brj+21,2.11895E-20,10,brj+21
1170,J1536-5433,mlc+01,0.8814384311,3,mlc+01,1.91E-15,8,mlc+01
,,,,,,,,
1171,J1536-5907,kel+09,0.55784066031,3,kel+09,1.366E-15,7,kel+09
1172,J1536-6142,pbs+23,0.369501,14,pbs+23,*,0,*
1173,J1536-6149,pbs+23,0.006875163,3,pbs+23,*,0,*
1174,B1534+12,wol91a,0.03790444117830463,16,fst14,2.422494E-18,3,fst14
1175,J1537-4912,ebvb01,0.30131077523,8,jbo+09,1.932E-15,2,jbo+09
,,,,,,,,
1176,J1537-5153,kbm+03,1.52812410566,12,kbm+03,4.172E-15,12,kbm+03
1177,J1537-5312,ccb+20,0.0069270955083835,15,ccb+20,1.586E-20,11,ccb+20
1178,J1537-5645,mlc+01,0.43046412386,15,mlc+01,2.78E-15,6,mlc+01
1179,J1537-61,sbb+23,369.5015e-3,0,mmr+24,*,0,*
1180,J1538+2345,kkl+15,3.44938495332,10,kkl+15,6.889E-15,12,kkl+15
,,,,,,,,
