MJD,FAST_count,Effelsberg_count,uGMRT_count,FAST_color,Effelsberg_color,uGMRT_color
59307.0,21,0.0,0.0,blue,none,none
59308.0,21,0.0,0.0,grey,none,none
59309.0,24,0.0,48.0,orange,none,grey
59310.0,28,0.0,0.0,purple,none,none
59311.0,39,0.0,0.0,grey,none,none
59312.0,33,0.0,0.0,orange,none,none
59313.0,82,20.0,0.0,grey,orange,none
59314.0,102,0.0,0.0,orange,none,none
59315.0,108,0.0,0.0,orange,none,none
59316.0,73,0.0,0.0,orange,none,none
59317.0,0,0.0,0.0,none,none,none
59318.0,55,0.0,0.0,grey,none,none
59319.0,61,0.0,0.0,orange,none,none
59320.0,47,0.0,0.0,grey,none,none
59321.0,32,0.0,0.0,grey,none,none
59322.0,56,0.0,0.0,grey,none,none
59323.0,64,0.0,0.0,orange,none,none
59324.0,47,0.0,0.0,grey,none,none
59325.0,50,0.0,0.0,grey,none,none
59326.0,65,0.0,0.0,grey,none,none
59327.0,40,0.0,0.0,grey,none,none
59328.0,62,0.0,0.0,grey,none,none
59329.0,37,0.0,0.0,orange,none,none
59330.0,50,0.0,0.0,grey,none,none
59331.0,43,0.0,0.0,grey,none,none
59332.0,0,0.0,0.0,none,none,none
59333.0,0,0.0,0.0,none,none,none
59334.0,77,0.0,0.0,grey,none,none
59335.0,0,0.0,0.0,none,none,none
59336.0,37,0.0,0.0,grey,none,none
59337.0,63,0.0,0.0,grey,none,none
59338.0,12,0.0,0.0,blue,none,none
59339.0,19,0.0,0.0,blue,none,none
59340.0,19,0.0,0.0,grey,none,none
59341.0,13,0.0,0.0,blue,none,none
59342.0,0,0.0,0.0,none,none,none
59343.0,13,0.0,0.0,blue,none,none
59344.0,11,0.0,0.0,grey,none,none
59345.0,19,0.0,0.0,orange,none,none
59346.0,16,0.0,0.0,grey,none,none
59347.0,25,0.0,0.0,purple,none,none
59348.0,44,0.0,0.0,grey,none,none
59349.0,26,0.0,0.0,grey,none,none
59350.0,39,0.0,0.0,grey,none,none
59351.0,43,0.0,0.0,grey,none,none
59352.0,41,0.0,0.0,grey,none,none
59353.0,27,0.0,0.0,grey,none,none
59354.0,23,0.0,0.0,orange,none,none
59355.0,0,0.0,0.0,none,none,none
59356.0,0,0.0,0.0,none,none,none
59357.0,28,0.0,0.0,grey,none,none
59358.0,0,0.0,0.0,none,none,none
59359.0,0,0.0,0.0,none,none,none
59360.0,28,0.0,0.0,grey,none,none
59361.0,0,0.0,0.0,none,none,none
59362.0,0,0.0,0.0,none,none,none
59363.0,0,0.0,0.0,none,none,none
59364.0,0,0.0,0.0,none,none,none
59365.0,0,0.0,0.0,none,none,none
59366.0,0,0.0,0.0,none,none,none
59367.0,0,0.0,0.0,none,none,none
59368.0,0,0.0,0.0,none,none,none
59369.0,0,0.0,0.0,none,none,none
59370.0,0,0.0,0.0,none,none,none
59371.0,0,0.0,0.0,none,none,none
59372.0,0,0.0,0.0,none,none,none
59373.0,0,0.0,0.0,none,none,none
59374.0,0,0.0,0.0,none,none,none
59375.0,0,0.0,0.0,none,none,none
59376.0,0,0.0,0.0,none,none,none
59377.0,0,0.0,0.0,none,none,none
59378.0,0,0.0,0.0,none,none,none
59379.0,0,0.0,0.0,none,none,none
59380.0,0,0.0,0.0,none,none,none
59381.0,0,0.0,0.0,none,none,none
59382.0,0,0.0,0.0,none,none,none
59383.0,0,0.0,0.0,none,none,none
59384.0,0,0.0,0.0,none,none,none
