# filename mjd_start mjd_end
FRB20201124A_1_tracking-M01_0001.fits 59348.19097222222222222222 59348.19127048384000000000
FRB20201124A_1_tracking-M01_0002.fits 59348.19127048384000000000 59348.19156874545777777777
FRB20201124A_1_tracking-M01_0003.fits 59348.19156874545777777777 59348.19186700707555555555
FRB20201124A_1_tracking-M01_0004.fits 59348.19186700707555555555 59348.19216526869333333333
FRB20201124A_1_tracking-M01_0005.fits 59348.19216526869333333333 59348.19246353031111111111
FRB20201124A_1_tracking-M01_0006.fits 59348.19246353031111111111 59348.19276179192888888888
FRB20201124A_1_tracking-M01_0007.fits 59348.19276179192888888888 59348.19306005354666666666
FRB20201124A_1_tracking-M01_0008.fits 59348.19306005354666666666 59348.19335831516444444444
FRB20201124A_1_tracking-M01_0009.fits 59348.19335831516444444444 59348.19365657678222222222
FRB20201124A_1_tracking-M01_0010.fits 59348.19365657678222222222 59348.19395483840000000000
FRB20201124A_1_tracking-M01_0011.fits 59348.19395483840000000000 59348.19425310001777777777
FRB20201124A_1_tracking-M01_0012.fits 59348.19425310001777777777 59348.19455136163555555555
FRB20201124A_1_tracking-M01_0013.fits 59348.19455136163555555555 59348.19484962325333333333
FRB20201124A_1_tracking-M01_0014.fits 59348.19484962325333333333 59348.19514788487111111111
FRB20201124A_1_tracking-M01_0015.fits 59348.19514788487111111111 59348.19544614648888888888
FRB20201124A_1_tracking-M01_0016.fits 59348.19544614648888888888 59348.19574440810666666666
FRB20201124A_1_tracking-M01_0017.fits 59348.19574440810666666666 59348.19604266972444444444
FRB20201124A_1_tracking-M01_0018.fits 59348.19604266972444444444 59348.19634093134222222222
FRB20201124A_1_tracking-M01_0019.fits 59348.19634093134222222222 59348.19663919296000000000
FRB20201124A_1_tracking-M01_0020.fits 59348.19663919296000000000 59348.19693745457777777777
FRB20201124A_1_tracking-M01_0021.fits 59348.19693745457777777777 59348.19723571619555555555
FRB20201124A_1_tracking-M01_0022.fits 59348.19723571619555555555 59348.19753397781333333333
FRB20201124A_1_tracking-M01_0023.fits 59348.19753397781333333333 59348.19783223943111111111
FRB20201124A_1_tracking-M01_0024.fits 59348.19783223943111111111 59348.19813050104888888888
