# filename mjd_start mjd_end
FRB20201124A_1_tracking-M01_0001.fits 59346.27916666666666666666 59346.27924123207111111111
FRB20201124A_1_tracking-M01_0002.fits 59346.27924123207111111111 59346.27931579747555555555
FRB20201124A_1_tracking-M01_0003.fits 59346.27931579747555555555 59346.27939036288000000000
FRB20201124A_1_tracking-M01_0004.fits 59346.27939036288000000000 59346.27946492828444444444
FRB20201124A_1_tracking-M01_0005.fits 59346.27946492828444444444 59346.27953949368888888888
FRB20201124A_1_tracking-M01_0006.fits 59346.27953949368888888888 59346.27961405909333333333
FRB20201124A_1_tracking-M01_0007.fits 59346.27961405909333333333 59346.27968862449777777777
FRB20201124A_1_tracking-M01_0008.fits 59346.27968862449777777777 59346.27976318990222222222
FRB20201124A_1_tracking-M01_0009.fits 59346.27976318990222222222 59346.27983775530666666666
FRB20201124A_1_tracking-M01_0010.fits 59346.27983775530666666666 59346.27991232071111111111
FRB20201124A_1_tracking-M01_0011.fits 59346.27991232071111111111 59346.27998688611555555555
FRB20201124A_1_tracking-M01_0012.fits 59346.27998688611555555555 59346.28006145152000000000
FRB20201124A_1_tracking-M01_0013.fits 59346.28006145152000000000 59346.28013601692444444444
FRB20201124A_1_tracking-M01_0014.fits 59346.28013601692444444444 59346.28021058232888888888
FRB20201124A_1_tracking-M01_0015.fits 59346.28021058232888888888 59346.28028514773333333333
FRB20201124A_1_tracking-M01_0016.fits 59346.28028514773333333333 59346.28035971313777777777
FRB20201124A_1_tracking-M01_0017.fits 59346.28035971313777777777 59346.28043427854222222222
FRB20201124A_1_tracking-M01_0018.fits 59346.28043427854222222222 59346.28050884394666666666
FRB20201124A_1_tracking-M01_0019.fits 59346.28050884394666666666 59346.28058340935111111111
FRB20201124A_1_tracking-M01_0020.fits 59346.28058340935111111111 59346.28065797475555555555
FRB20201124A_1_tracking-M01_0021.fits 59346.28065797475555555555 59346.28073254016000000000
FRB20201124A_1_tracking-M01_0022.fits 59346.28073254016000000000 59346.28080710556444444444
FRB20201124A_1_tracking-M01_0023.fits 59346.28080710556444444444 59346.28088167096888888888
FRB20201124A_1_tracking-M01_0024.fits 59346.28088167096888888888 59346.28095623637333333333
FRB20201124A_1_tracking-M01_0025.fits 59346.28095623637333333333 59346.28103080177777777777
FRB20201124A_1_tracking-M01_0026.fits 59346.28103080177777777777 59346.28110536718222222222
FRB20201124A_1_tracking-M01_0027.fits 59346.28110536718222222222 59346.28117993258666666666
FRB20201124A_1_tracking-M01_0028.fits 59346.28117993258666666666 59346.28125449799111111111
FRB20201124A_1_tracking-M01_0029.fits 59346.28125449799111111111 59346.28132906339555555555
FRB20201124A_1_tracking-M01_0030.fits 59346.28132906339555555555 59346.28140362880000000000
FRB20201124A_1_tracking-M01_0031.fits 59346.28140362880000000000 59346.28147819420444444444
FRB20201124A_1_tracking-M01_0032.fits 59346.28147819420444444444 59346.28155275960888888888
FRB20201124A_1_tracking-M01_0033.fits 59346.28155275960888888888 59346.28162732501333333333
FRB20201124A_1_tracking-M01_0034.fits 59346.28162732501333333333 59346.28170189041777777777
FRB20201124A_1_tracking-M01_0035.fits 59346.28170189041777777777 59346.28177645582222222222
FRB20201124A_1_tracking-M01_0036.fits 59346.28177645582222222222 59346.28185102122666666666
FRB20201124A_1_tracking-M01_0037.fits 59346.28185102122666666666 59346.28192558663111111111
FRB20201124A_1_tracking-M01_0038.fits 59346.28192558663111111111 59346.28200015203555555555
FRB20201124A_1_tracking-M01_0039.fits 59346.28200015203555555555 59346.28207471744000000000
FRB20201124A_1_tracking-M01_0040.fits 59346.28207471744000000000 59346.28214928284444444444
FRB20201124A_1_tracking-M01_0041.fits 59346.28214928284444444444 59346.28222384824888888888
FRB20201124A_1_tracking-M01_0042.fits 59346.28222384824888888888 59346.28229841365333333333
FRB20201124A_1_tracking-M01_0043.fits 59346.28229841365333333333 59346.28237297905777777777
FRB20201124A_1_tracking-M01_0044.fits 59346.28237297905777777777 59346.28244754446222222222
FRB20201124A_1_tracking-M01_0045.fits 59346.28244754446222222222 59346.28252210986666666666
FRB20201124A_1_tracking-M01_0046.fits 59346.28252210986666666666 59346.28259667527111111111
FRB20201124A_1_tracking-M01_0047.fits 59346.28259667527111111111 59346.28267124067555555555
FRB20201124A_1_tracking-M01_0048.fits 59346.28267124067555555555 59346.28274580608000000000
FRB20201124A_1_tracking-M01_0049.fits 59346.28274580608000000000 59346.28282037148444444444
FRB20201124A_1_tracking-M01_0050.fits 59346.28282037148444444444 59346.28289493688888888888
FRB20201124A_1_tracking-M01_0051.fits 59346.28289493688888888888 59346.28296950229333333333
FRB20201124A_1_tracking-M01_0052.fits 59346.28296950229333333333 59346.28304406769777777777
FRB20201124A_1_tracking-M01_0053.fits 59346.28304406769777777777 59346.28311863310222222222
FRB20201124A_1_tracking-M01_0054.fits 59346.28311863310222222222 59346.28319319850666666666
FRB20201124A_1_tracking-M01_0055.fits 59346.28319319850666666666 59346.28326776391111111111
FRB20201124A_1_tracking-M01_0056.fits 59346.28326776391111111111 59346.28334232931555555555
FRB20201124A_1_tracking-M01_0057.fits 59346.28334232931555555555 59346.28341689472000000000
FRB20201124A_1_tracking-M01_0058.fits 59346.28341689472000000000 59346.28349146012444444444
