# filename mjd_start mjd_end
FRB20201124A_tracking-M01_0001.fits 59309.34722222222222222222 59309.34729678762666666666
FRB20201124A_tracking-M01_0002.fits 59309.34729678762666666666 59309.34737135303111111111
FRB20201124A_tracking-M01_0003.fits 59309.34737135303111111111 59309.34744591843555555555
FRB20201124A_tracking-M01_0004.fits 59309.34744591843555555555 59309.34752048384000000000
FRB20201124A_tracking-M01_0005.fits 59309.34752048384000000000 59309.34759504924444444444
FRB20201124A_tracking-M01_0006.fits 59309.34759504924444444444 59309.34766961464888888888
FRB20201124A_tracking-M01_0007.fits 59309.34766961464888888888 59309.34774418005333333333
FRB20201124A_tracking-M01_0008.fits 59309.34774418005333333333 59309.34781874545777777777
FRB20201124A_tracking-M01_0009.fits 59309.34781874545777777777 59309.34789331086222222222
FRB20201124A_tracking-M01_0010.fits 59309.34789331086222222222 59309.34796787626666666666
FRB20201124A_tracking-M01_0011.fits 59309.34796787626666666666 59309.34804244167111111111
FRB20201124A_tracking-M01_0012.fits 59309.34804244167111111111 59309.34811700707555555555
FRB20201124A_tracking-M01_0013.fits 59309.34811700707555555555 59309.34819157248000000000
FRB20201124A_tracking-M01_0014.fits 59309.34819157248000000000 59309.34826613788444444444
FRB20201124A_tracking-M01_0015.fits 59309.34826613788444444444 59309.34834070328888888888
FRB20201124A_tracking-M01_0016.fits 59309.34834070328888888888 59309.34841526869333333333
FRB20201124A_tracking-M01_0017.fits 59309.34841526869333333333 59309.34848983409777777777
FRB20201124A_tracking-M01_0018.fits 59309.34848983409777777777 59309.34856439950222222222
FRB20201124A_tracking-M01_0019.fits 59309.34856439950222222222 59309.34863896490666666666
FRB20201124A_tracking-M01_0020.fits 59309.34863896490666666666 59309.34871353031111111111
FRB20201124A_tracking-M01_0021.fits 59309.34871353031111111111 59309.34878809571555555555
FRB20201124A_tracking-M01_0022.fits 59309.34878809571555555555 59309.34886266112000000000
FRB20201124A_tracking-M01_0023.fits 59309.34886266112000000000 59309.34893722652444444444
FRB20201124A_tracking-M01_0024.fits 59309.34893722652444444444 59309.34901179192888888888
FRB20201124A_tracking-M01_0025.fits 59309.34901179192888888888 59309.34908635733333333333
FRB20201124A_tracking-M01_0026.fits 59309.34908635733333333333 59309.34916092273777777777
FRB20201124A_tracking-M01_0027.fits 59309.34916092273777777777 59309.34923548814222222222
FRB20201124A_tracking-M01_0028.fits 59309.34923548814222222222 59309.34931005354666666666
FRB20201124A_tracking-M01_0029.fits 59309.34931005354666666666 59309.34938461895111111111
FRB20201124A_tracking-M01_0030.fits 59309.34938461895111111111 59309.34945918435555555555
FRB20201124A_tracking-M01_0031.fits 59309.34945918435555555555 59309.34953374976000000000
FRB20201124A_tracking-M01_0032.fits 59309.34953374976000000000 59309.34960831516444444444
FRB20201124A_tracking-M01_0033.fits 59309.34960831516444444444 59309.34968288056888888888
FRB20201124A_tracking-M01_0034.fits 59309.34968288056888888888 59309.34975744597333333333
FRB20201124A_tracking-M01_0035.fits 59309.34975744597333333333 59309.34983201137777777777
FRB20201124A_tracking-M01_0036.fits 59309.34983201137777777777 59309.34990657678222222222
FRB20201124A_tracking-M01_0037.fits 59309.34990657678222222222 59309.34998114218666666666
FRB20201124A_tracking-M01_0038.fits 59309.34998114218666666666 59309.35005570759111111111
FRB20201124A_tracking-M01_0039.fits 59309.35005570759111111111 59309.35013027299555555555
FRB20201124A_tracking-M01_0040.fits 59309.35013027299555555555 59309.35020483840000000000
FRB20201124A_tracking-M01_0041.fits 59309.35020483840000000000 59309.35027940380444444444
FRB20201124A_tracking-M01_0042.fits 59309.35027940380444444444 59309.35035396920888888888
FRB20201124A_tracking-M01_0043.fits 59309.35035396920888888888 59309.35042853461333333333
FRB20201124A_tracking-M01_0044.fits 59309.35042853461333333333 59309.35050310001777777777
FRB20201124A_tracking-M01_0045.fits 59309.35050310001777777777 59309.35057766542222222222
FRB20201124A_tracking-M01_0046.fits 59309.35057766542222222222 59309.35065223082666666666
FRB20201124A_tracking-M01_0047.fits 59309.35065223082666666666 59309.35072679623111111111
FRB20201124A_tracking-M01_0048.fits 59309.35072679623111111111 59309.35080136163555555555
FRB20201124A_tracking-M01_0049.fits 59309.35080136163555555555 59309.35087592704000000000
FRB20201124A_tracking-M01_0050.fits 59309.35087592704000000000 59309.35095049244444444444
FRB20201124A_tracking-M01_0051.fits 59309.35095049244444444444 59309.35102505784888888888
FRB20201124A_tracking-M01_0052.fits 59309.35102505784888888888 59309.35109962325333333333
FRB20201124A_tracking-M01_0053.fits 59309.35109962325333333333 59309.35117418865777777777
FRB20201124A_tracking-M01_0054.fits 59309.35117418865777777777 59309.35124875406222222222
FRB20201124A_tracking-M01_0055.fits 59309.35124875406222222222 59309.35132331946666666666
FRB20201124A_tracking-M01_0056.fits 59309.35132331946666666666 59309.35139788487111111111
FRB20201124A_tracking-M01_0057.fits 59309.35139788487111111111 59309.35147245027555555555
FRB20201124A_tracking-M01_0058.fits 59309.35147245027555555555 59309.35154701568000000000
FRB20201124A_tracking-M01_0059.fits 59309.35154701568000000000 59309.35162158108444444444
FRB20201124A_tracking-M01_0060.fits 59309.35162158108444444444 59309.35169614648888888888
FRB20201124A_tracking-M01_0061.fits 59309.35169614648888888888 59309.35177071189333333333
FRB20201124A_tracking-M01_0062.fits 59309.35177071189333333333 59309.35184527729777777777
FRB20201124A_tracking-M01_0063.fits 59309.35184527729777777777 59309.35191984270222222222
FRB20201124A_tracking-M01_0064.fits 59309.35191984270222222222 59309.35199440810666666666
FRB20201124A_tracking-M01_0065.fits 59309.35199440810666666666 59309.35206897351111111111
FRB20201124A_tracking-M01_0066.fits 59309.35206897351111111111 59309.35214353891555555555
FRB20201124A_tracking-M01_0067.fits 59309.35214353891555555555 59309.35221810432000000000
FRB20201124A_tracking-M01_0068.fits 59309.35221810432000000000 59309.35229266972444444444
FRB20201124A_tracking-M01_0069.fits 59309.35229266972444444444 59309.35236723512888888888
FRB20201124A_tracking-M01_0070.fits 59309.35236723512888888888 59309.35244180053333333333
FRB20201124A_tracking-M01_0071.fits 59309.35244180053333333333 59309.35251636593777777777
FRB20201124A_tracking-M01_0072.fits 59309.35251636593777777777 59309.35259093134222222222
FRB20201124A_tracking-M01_0073.fits 59309.35259093134222222222 59309.35266549674666666666
FRB20201124A_tracking-M01_0074.fits 59309.35266549674666666666 59309.35274006215111111111
FRB20201124A_tracking-M01_0075.fits 59309.35274006215111111111 59309.35281462755555555555
FRB20201124A_tracking-M01_0076.fits 59309.35281462755555555555 59309.35288919296000000000
FRB20201124A_tracking-M01_0077.fits 59309.35288919296000000000 59309.35296375836444444444
FRB20201124A_tracking-M01_0078.fits 59309.35296375836444444444 59309.35303832376888888888
FRB20201124A_tracking-M01_0079.fits 59309.35303832376888888888 59309.35311288917333333333
FRB20201124A_tracking-M01_0080.fits 59309.35311288917333333333 59309.35318745457777777777
FRB20201124A_tracking-M01_0081.fits 59309.35318745457777777777 59309.35326201998222222222
FRB20201124A_tracking-M01_0082.fits 59309.35326201998222222222 59309.35333658538666666666
FRB20201124A_tracking-M01_0083.fits 59309.35333658538666666666 59309.35341115079111111111
FRB20201124A_tracking-M01_0084.fits 59309.35341115079111111111 59309.35348571619555555555
FRB20201124A_tracking-M01_0085.fits 59309.35348571619555555555 59309.35356028160000000000
FRB20201124A_tracking-M01_0086.fits 59309.35356028160000000000 59309.35363484700444444444
FRB20201124A_tracking-M01_0087.fits 59309.35363484700444444444 59309.35370941240888888888
FRB20201124A_tracking-M01_0088.fits 59309.35370941240888888888 59309.35378397781333333333
FRB20201124A_tracking-M01_0089.fits 59309.35378397781333333333 59309.35385854321777777777
FRB20201124A_tracking-M01_0090.fits 59309.35385854321777777777 59309.35393310862222222222
FRB20201124A_tracking-M01_0091.fits 59309.35393310862222222222 59309.35400767402666666666
FRB20201124A_tracking-M01_0092.fits 59309.35400767402666666666 59309.35408223943111111111
FRB20201124A_tracking-M01_0093.fits 59309.35408223943111111111 59309.35415680483555555555
FRB20201124A_tracking-M01_0094.fits 59309.35415680483555555555 59309.35423137024000000000
FRB20201124A_tracking-M01_0095.fits 59309.35423137024000000000 59309.35430593564444444444
FRB20201124A_tracking-M01_0096.fits 59309.35430593564444444444 59309.35438050104888888888
FRB20201124A_tracking-M01_0097.fits 59309.35438050104888888888 59309.35445506645333333333
FRB20201124A_tracking-M01_0098.fits 59309.35445506645333333333 59309.35452963185777777777
FRB20201124A_tracking-M01_0099.fits 59309.35452963185777777777 59309.35460419726222222222
FRB20201124A_tracking-M01_0100.fits 59309.35460419726222222222 59309.35467876266666666666
FRB20201124A_tracking-M01_0101.fits 59309.35467876266666666666 59309.35475332807111111111
