# filename mjd_start mjd_end
FRB20201124A_tracking-M01_0001.fits 59310.32638888888888888888 59310.32646345429333333333
FRB20201124A_tracking-M01_0002.fits 59310.32646345429333333333 59310.32653801969777777777
FRB20201124A_tracking-M01_0003.fits 59310.32653801969777777777 59310.32661258510222222222
FRB20201124A_tracking-M01_0004.fits 59310.32661258510222222222 59310.32668715050666666666
FRB20201124A_tracking-M01_0005.fits 59310.32668715050666666666 59310.32676171591111111111
FRB20201124A_tracking-M01_0006.fits 59310.32676171591111111111 59310.32683628131555555555
FRB20201124A_tracking-M01_0007.fits 59310.32683628131555555555 59310.32691084672000000000
FRB20201124A_tracking-M01_0008.fits 59310.32691084672000000000 59310.32698541212444444444
FRB20201124A_tracking-M01_0009.fits 59310.32698541212444444444 59310.32705997752888888888
FRB20201124A_tracking-M01_0010.fits 59310.32705997752888888888 59310.32713454293333333333
FRB20201124A_tracking-M01_0011.fits 59310.32713454293333333333 59310.32720910833777777777
FRB20201124A_tracking-M01_0012.fits 59310.32720910833777777777 59310.32728367374222222222
FRB20201124A_tracking-M01_0013.fits 59310.32728367374222222222 59310.32735823914666666666
FRB20201124A_tracking-M01_0014.fits 59310.32735823914666666666 59310.32743280455111111111
FRB20201124A_tracking-M01_0015.fits 59310.32743280455111111111 59310.32750736995555555555
FRB20201124A_tracking-M01_0016.fits 59310.32750736995555555555 59310.32758193536000000000
FRB20201124A_tracking-M01_0017.fits 59310.32758193536000000000 59310.32765650076444444444
FRB20201124A_tracking-M01_0018.fits 59310.32765650076444444444 59310.32773106616888888888
FRB20201124A_tracking-M01_0019.fits 59310.32773106616888888888 59310.32780563157333333333
FRB20201124A_tracking-M01_0020.fits 59310.32780563157333333333 59310.32788019697777777777
FRB20201124A_tracking-M01_0021.fits 59310.32788019697777777777 59310.32795476238222222222
FRB20201124A_tracking-M01_0022.fits 59310.32795476238222222222 59310.32802932778666666666
FRB20201124A_tracking-M01_0023.fits 59310.32802932778666666666 59310.32810389319111111111
FRB20201124A_tracking-M01_0024.fits 59310.32810389319111111111 59310.32817845859555555555
FRB20201124A_tracking-M01_0025.fits 59310.32817845859555555555 59310.32825302400000000000
FRB20201124A_tracking-M01_0026.fits 59310.32825302400000000000 59310.32832758940444444444
FRB20201124A_tracking-M01_0027.fits 59310.32832758940444444444 59310.32840215480888888888
FRB20201124A_tracking-M01_0028.fits 59310.32840215480888888888 59310.32847672021333333333
FRB20201124A_tracking-M01_0029.fits 59310.32847672021333333333 59310.32855128561777777777
FRB20201124A_tracking-M01_0030.fits 59310.32855128561777777777 59310.32862585102222222222
FRB20201124A_tracking-M01_0031.fits 59310.32862585102222222222 59310.32870041642666666666
FRB20201124A_tracking-M01_0032.fits 59310.32870041642666666666 59310.32877498183111111111
FRB20201124A_tracking-M01_0033.fits 59310.32877498183111111111 59310.32884954723555555555
FRB20201124A_tracking-M01_0034.fits 59310.32884954723555555555 59310.32892411264000000000
FRB20201124A_tracking-M01_0035.fits 59310.32892411264000000000 59310.32899867804444444444
FRB20201124A_tracking-M01_0036.fits 59310.32899867804444444444 59310.32907324344888888888
FRB20201124A_tracking-M01_0037.fits 59310.32907324344888888888 59310.32914780885333333333
FRB20201124A_tracking-M01_0038.fits 59310.32914780885333333333 59310.32922237425777777777
FRB20201124A_tracking-M01_0039.fits 59310.32922237425777777777 59310.32929693966222222222
FRB20201124A_tracking-M01_0040.fits 59310.32929693966222222222 59310.32937150506666666666
FRB20201124A_tracking-M01_0041.fits 59310.32937150506666666666 59310.32944607047111111111
FRB20201124A_tracking-M01_0042.fits 59310.32944607047111111111 59310.32952063587555555555
FRB20201124A_tracking-M01_0043.fits 59310.32952063587555555555 59310.32959520128000000000
FRB20201124A_tracking-M01_0044.fits 59310.32959520128000000000 59310.32966976668444444444
FRB20201124A_tracking-M01_0045.fits 59310.32966976668444444444 59310.32974433208888888888
FRB20201124A_tracking-M01_0046.fits 59310.32974433208888888888 59310.32981889749333333333
FRB20201124A_tracking-M01_0047.fits 59310.32981889749333333333 59310.32989346289777777777
FRB20201124A_tracking-M01_0048.fits 59310.32989346289777777777 59310.32996802830222222222
FRB20201124A_tracking-M01_0049.fits 59310.32996802830222222222 59310.33004259370666666666
FRB20201124A_tracking-M01_0050.fits 59310.33004259370666666666 59310.33011715911111111111
FRB20201124A_tracking-M01_0051.fits 59310.33011715911111111111 59310.33019172451555555555
