BurstID,  ObsDate,             MJD,        DM,     Width,        PeakFlux,        PeakFlux_error,          Fluence,          Fluence_error,       Energy_c,       Energy_w, BandWidth,        Width,         PeakFlux,         PeakFlux_error,         Fluence,         Fluence_error,       Energy_w
       ,         ,     Barycentric,          , Full Band,       Full Band,       Full Band,        Full Band,        Full Band,      Full Band,      Full Band,          , Limited Band,     Limited Band,     Limited Band,    Limited Band,    Limited Band,   Limited Band
       ,         ,                , (pc/cm^3),      (ms),           (mJy),           (mJy),          (Jy ms),          (Jy ms),          (erg),          (erg),     (MHz),         (ms),            (mJy),            (mJy),         (Jy ms),         (Jy ms),          (erg)
127,20210928,59484.81777692800000000000 ,411.51,5.67,9.16,0.06,0.052,0.001,   1.456(1)e+37,   5.822(1)e+36,100,4.15,39.07,0.17,0.162,0.003,  3.986(67)e+36
128,20210928,59484.81779535900000000000 ,411.51,3.24,21.27,0.11,0.069,0.001,  1.931(28)e+37, 7.725(112)e+36,200,3.52,50.21,0.24,0.177,0.002,  8.688(90)e+36
129,20210928,59484.81797813200000000000 ,411.51,3.28,274.28,0.06,0.901,0.001,  2.522(25)e+38,  1.009(10)e+38,500,3.27,274.43,0.2,0.896,0.009,  1.102(11)e+38
130,20210928,59484.81855928300000000000 ,411.51,6.1,28.54,0.83,0.174,0.005,  4.870(56)e+37,  1.948(22)e+37,400,5.64,33.62,2.36,0.189,0.003,  1.863(27)e+37
131,20210928,59484.81945567600000000000 ,411.51,3.98,33.39,0.75,0.133,0.003,  3.723(56)e+37,  1.489(22)e+37,350,3.76,52.38,2.75,0.197,0.003,  1.693(24)e+37
132,20210928,59484.81945607700000000000 ,411.51,7.11,245.4,0.03,1.745,0.001,  4.884(62)e+38,  1.954(25)e+38,500,6.48,245.66,0.24,1.593,0.02,  1.958(25)e+38
133,20210928,59484.81945707300000000000 ,411.51,5.85,83.06,0.05,0.486,0.001,  1.360(17)e+38,  5.441(67)e+37,300,5.45,165,0.17,0.899,0.012,  6.630(87)e+37
134,20210928,59484.81999347100000000000 ,411.51,9.81,34.34,0.91,0.337,0.009, 9.433(140)e+37,  3.773(56)e+37,400,8.8,43.82,1.63,0.386,0.005,  3.793(49)e+37
135,20210928,59484.82009360700000000000 ,411.51,4.11,9.01,0.05,0.037,0.001,   1.036(1)e+37,   4.142(1)e+36,150,3.58,24.67,0.25,0.088,0.001,  3.258(34)e+36
136,20210928,59484.82019444400000000000 ,411.51,5.25,7.99,0.59,0.042,0.003,  1.176(28)e+37, 4.702(112)e+36,300,2.77,11.2,1.03,0.031,0.001,   2.284(1)e+36
137,20210928,59484.82025437600000000000 ,411.51,1.68,7.13,0.04,0.012,0.001,   3.359(1)e+36,   1.344(1)e+36,50,4.5,51.66,0.14,0.232,0.004,  2.855(45)e+36
138,20210928,59484.82126638500000000000 ,411.51,2.43,11.13,0.05,0.027,0.001,   7.557(1)e+36,   3.023(1)e+36,200,2.46,17.39,0.19,0.043,0.001,  2.105(45)e+36
139,20210928,59484.82130654700000000000 ,411.51,9.13,35.81,0.13,0.327,0.001, 9.153(112)e+37,  3.661(45)e+37,300,7.87,61,0.17,0.48,0.006,  3.540(47)e+37
140,20210928,59484.82130875500000000000 ,411.51,7.02,56.11,0.13,0.394,0.001,  1.103(11)e+38,  4.411(45)e+37,250,6.53,118.08,0.3,0.771,0.01,  4.742(62)e+37
141,20210928,59484.82135684500000000000 ,411.51,3.59,228.18,0.06,0.82,0.001,  2.295(31)e+38, 9.181(123)e+37,400,3.28,316.01,0.34,1.037,0.013,  1.020(13)e+38
142,20210928,59484.82178106500000000000 ,411.51,4.78,87.65,0.11,0.419,0.001,  1.173(17)e+38,  4.691(67)e+37,400,4.42,104.15,0.97,0.46,0.005,  4.528(52)e+37
143,20210928,59484.82186054500000000000 ,411.51,8.04,29.36,0.08,0.236,0.001,  6.606(84)e+37,  2.642(34)e+37,200,7.87,65.87,0.19,0.518,0.006,  2.548(31)e+37
144,20210928,59484.82212368300000000000 ,411.51,4.1,12.92,0.45,0.053,0.002,   1.483(1)e+37,   5.934(1)e+36,150,3,45.27,0.66,0.136,0.002,  5.005(56)e+36
145,20210928,59484.82219190500000000000 ,411.51,4.62,297.3,0.66,1.374,0.003,  3.846(48)e+38,  1.538(19)e+38,450,4.2,324.93,1.44,1.364,0.017,  1.509(19)e+38
146,20210928,59484.82219289800000000000 ,411.51,4.39,54.47,0.2,0.239,0.001,  6.690(84)e+37,  2.676(34)e+37,200,4.05,138.67,0.34,0.561,0.007,  2.759(36)e+37
147,20210928,59484.82255500600000000000 ,411.51,3.13,6.71,1.1,0.021,0.003,   5.878(1)e+36,   2.351(1)e+36,100,3.59,23.56,1.1,0.085,0.001,  2.082(22)e+36
148,20210928,59484.82265145400000000000 ,411.51,7.27,55.55,0.41,0.404,0.003,  1.131(14)e+38,  4.523(56)e+37,300,6.43,107.01,0.76,0.688,0.008,  5.072(60)e+37
149,20210928,59484.82272549000000000000 ,411.51,4.17,28.32,0.41,0.118,0.002,  3.303(28)e+37,  1.321(11)e+37,350,3.56,39.67,0.72,0.141,0.002,  1.215(16)e+37
150,20210928,59484.82272577200000000000 ,411.51,9.09,206.6,1.7,1.879,0.015,  5.259(64)e+38,  2.104(26)e+38,500,5.66,314.84,1.81,1.783,0.021,  2.192(26)e+38
151,20210928,59484.82278163300000000000 ,411.51,8.09,156.21,0.15,1.264,0.001,  3.538(45)e+38,  1.415(18)e+38,400,7.3,201.26,0.32,1.47,0.018,  1.446(18)e+38
152,20210928,59484.82281648400000000000 ,411.51,13.03,740.65,0.66,9.653,0.009,  2.702(34)e+39,  1.081(14)e+39,500,11.71,740.98,1.56,8.679,0.108,  1.067(13)e+39
153,20210928,59484.82294980400000000000 ,411.51,2.96,133.06,1.55,0.394,0.005,  1.103(14)e+38,  4.411(56)e+37,200,2.69,334.96,2.06,0.903,0.012,  4.438(58)e+37
154,20210928,59484.82299788200000000000 ,411.51,6.48,6.63,0.8,0.043,0.005,  1.204(28)e+37, 4.814(112)e+36,100,2.45,24.89,1.1,0.061,0.001,  1.500(22)e+36
155,20210928,59484.82362898700000000000 ,411.51,7.27,78.68,0.1,0.572,0.001,  1.601(20)e+38,  6.404(78)e+37,400,6.57,101.27,0.68,0.666,0.008,  6.548(81)e+37
156,20210928,59484.82362920600000000000 ,411.51,14.32,175.33,1.14,2.511,0.016,  7.028(90)e+38,  2.811(36)e+38,300,13.88,274.66,2.17,3.812,0.047,  2.812(35)e+38
157,20210928,59484.82363006600000000000 ,411.51,9.17,23.98,2.91,0.22,0.027,  6.158(84)e+37,  2.463(34)e+37,100,9.47,103.67,3.6,0.982,0.015,  2.414(36)e+37
158,20210928,59484.82365478300000000000 ,411.51,3.06,71.2,0.1,0.218,0.001,  6.102(84)e+37,  2.441(34)e+37,450,2.75,75.42,0.41,0.208,0.003,  2.297(30)e+37
159,20210928,59484.82378151100000000000 ,411.51,4.29,27.53,2.31,0.118,0.01,  3.303(28)e+37,  1.321(11)e+37,150,3.84,89.8,2.48,0.345,0.005,  1.273(17)e+37
160,20210928,59484.82386683700000000000 ,411.51,4.69,8.96,0.82,0.042,0.004,  1.176(28)e+37, 4.702(112)e+36,100,5.69,28.01,1.15,0.159,0.003,  3.919(67)e+36
161,20210928,59484.82389687100000000000 ,411.51,8.38,17.91,0.72,0.15,0.006,  4.198(56)e+37,  1.679(22)e+37,200,7.77,48.2,2.1,0.374,0.005,  1.841(22)e+37
162,20210928,59484.82406646400000000000 ,411.51,2.85,8.79,0.49,0.025,0.001,   6.998(1)e+36,   2.799(1)e+36,150,4.16,27.34,2.9,0.114,0.002,  4.198(67)e+36
163,20210928,59484.82462900200000000000 ,411.51,3.38,11.23,0.85,0.038,0.003,   1.064(1)e+37,   4.254(1)e+36,100,3.05,60.63,0.98,0.185,0.003,  4.546(67)e+36
164,20210928,59484.82465684600000000000 ,411.51,3.94,47.25,1.88,0.186,0.007,  5.206(56)e+37,  2.082(22)e+37,300,3.35,86.94,1.94,0.291,0.004,  2.150(27)e+37
165,20210928,59484.82465822100000000000 ,411.51,6.47,30.45,0.18,0.197,0.001,  5.514(56)e+37,  2.206(22)e+37,200,6.34,71.95,1.08,0.456,0.005,  2.244(27)e+37
166,20210928,59484.82466155600000000000 ,411.51,16.61,323.06,0.2,5.366,0.003,  1.502(18)e+39,  6.008(74)e+38,500,8.95,435.05,1.02,3.894,0.047,  4.787(58)e+38
167,20210928,59484.82495935400000000000 ,411.51,2.54,25.21,2.58,0.064,0.007,  1.791(28)e+37, 7.166(112)e+36,200,2.54,54.96,5.96,0.139,0.002,  6.852(90)e+36
168,20210928,59484.82511916200000000000 ,411.51,3.4,24.4,1.91,0.083,0.006,  2.323(28)e+37, 9.293(112)e+36,100,3.55,103.29,5.36,0.367,0.005, 9.024(134)e+36
169,20210928,59484.82512142600000000000 ,411.51,10.71,84.81,1.01,0.908,0.011,  2.542(31)e+38,  1.017(12)e+38,250,10.1,179.78,2.69,1.816,0.023,  1.116(14)e+38
170,20210928,59484.82517452300000000000 ,411.51,0.91,5.51,0.09,0.005,0.001,   1.400(1)e+36,   5.598(1)e+35,100,2.13,23.06,0.65,0.049,0.001,  1.209(22)e+36
171,20210928,59484.82517481000000000000 ,411.51,2.96,9.81,0.2,0.029,0.001,   8.117(1)e+36,   3.247(1)e+36,200,3.97,19.29,0.46,0.077,0.001,  3.762(45)e+36
172,20210928,59484.82530876200000000000 ,411.51,4.17,28.27,2.64,0.118,0.011,  3.303(28)e+37,  1.321(11)e+37,300,3.91,48.4,2.64,0.189,0.003,  1.397(20)e+37
173,20210928,59484.82531069000000000000 ,411.51,5.24,12.22,1.08,0.064,0.006,  1.791(28)e+37, 7.166(112)e+36,100,5.22,56.39,1.08,0.294,0.005, 7.233(112)e+36
174,20210928,59484.82531156800000000000 ,411.51,5.41,14.97,0.37,0.081,0.002,  2.267(28)e+37, 9.069(112)e+36,150,5.48,38.7,0.43,0.212,0.003, 7.826(101)e+36
175,20210928,59484.82531201400000000000 ,411.51,1.73,8.07,0.43,0.014,0.001,   3.919(1)e+36,   1.567(1)e+36,50,7.01,36.74,0.68,0.258,0.004,  3.168(45)e+36
176,20210928,59484.82707550000000000000 ,411.51,4.79,164.96,3.13,0.79,0.015,  2.211(28)e+38, 8.845(112)e+37,450,4.39,175.01,3.14,0.769,0.009, 8.505(101)e+37
177,20210928,59484.82707573200000000000 ,411.51,4.53,46.81,1.06,0.212,0.005,  5.934(84)e+37,  2.374(34)e+37,250,4.42,94.87,2.13,0.419,0.005,  2.575(34)e+37
178,20210928,59484.82737921200000000000 ,411.51,6.17,37.13,0.16,0.229,0.001,  6.410(84)e+37,  2.564(34)e+37,300,5.21,57.56,0.32,0.3,0.004,  2.210(27)e+37
179,20210928,59484.82738000800000000000 ,411.51,13.91,147.82,0.44,2.056,0.006,  5.755(67)e+38,  2.302(27)e+38,300,13.68,312.1,0.56,4.271,0.052,  3.150(39)e+38
180,20210928,59484.82771202200000000000 ,411.51,5.96,13.77,0.11,0.082,0.001,  2.295(28)e+37, 9.181(112)e+36,350,5.39,20.79,0.32,0.112,0.001,  9.640(78)e+36
181,20210928,59484.82771349800000000000 ,411.51,6.65,33.99,0.1,0.226,0.001,  6.326(84)e+37,  2.530(34)e+37,200,6.22,83.21,0.14,0.517,0.006,  2.544(31)e+37
182,20210928,59484.82807655800000000000 ,411.51,2.91,23.68,0.09,0.069,0.001,  1.931(28)e+37, 7.725(112)e+36,200,2.87,51.09,0.79,0.147,0.002,  7.210(90)e+36
183,20210928,59484.82883491200000000000 ,411.51,4.87,55.42,0.14,0.27,0.001,  7.557(84)e+37,  3.023(34)e+37,250,4.17,118.71,0.22,0.495,0.006,  3.045(39)e+37
184,20210928,59484.82890882800000000000 ,411.51,5.86,42.32,0.45,0.248,0.003,  6.942(84)e+37,  2.777(34)e+37,150,5.36,135.02,0.74,0.723,0.009,  2.667(34)e+37
185,20210928,59484.82963546900000000000 ,411.51,5.92,85.97,0.39,0.509,0.002,  1.425(17)e+38,  5.699(67)e+37,350,5.48,131.19,0.62,0.72,0.008,  6.191(71)e+37
186,20210928,59484.83043167700000000000 ,411.51,3.25,21.52,0.38,0.07,0.001,  1.959(28)e+37, 7.837(112)e+36,150,3.25,69.13,0.78,0.225,0.003, 8.296(101)e+36
187,20210928,59484.83043218700000000000 ,411.51,10.8,24.73,0.23,0.267,0.002,  7.473(84)e+37,  2.989(34)e+37,200,9.46,58.9,0.4,0.557,0.006,  2.741(31)e+37
188,20210928,59484.83043257900000000000 ,411.51,4.45,26.95,0.71,0.12,0.003,  3.359(28)e+37,  1.344(11)e+37,100,4.36,124.62,1.52,0.544,0.007,  1.337(18)e+37
189,20210928,59484.83059491200000000000 ,411.51,6.3,75.84,2.87,0.478,0.018,  1.338(17)e+38,  5.352(67)e+37,300,5.57,150.03,3.7,0.835,0.01,  6.160(74)e+37
190,20210928,59484.83059523500000000000 ,411.51,4.89,244.72,1.1,1.197,0.005,  3.350(39)e+38,  1.340(16)e+38,450,4.51,266.84,4.06,1.203,0.015,  1.331(16)e+38
191,20210928,59484.83059579900000000000 ,411.51,3.57,15.7,0.64,0.056,0.002,  1.567(28)e+37, 6.270(112)e+36,200,3.65,36.72,3.22,0.134,0.002,  6.583(90)e+36
192,20210928,59484.83066287000000000000 ,411.51,7.67,25.93,1.1,0.199,0.008,  5.570(56)e+37,  2.228(22)e+37,100,7.78,114.77,1.31,0.893,0.013,  2.194(31)e+37
193,20210928,59484.83072222900000000000 ,411.51,4.07,5.9,0.32,0.024,0.001,   6.718(1)e+36,   2.687(1)e+36,200,2.61,17.1,0.9,0.045,0.001,  2.194(45)e+36
194,20210928,59484.83074152800000000000 ,411.51,4.68,22.2,0.37,0.104,0.002,  2.911(28)e+37,  1.164(11)e+37,300,4.49,39.98,0.85,0.179,0.002,  1.323(13)e+37
195,20210928,59484.83074199200000000000 ,411.51,5.58,51.8,0.11,0.289,0.001,  8.089(84)e+37,  3.236(34)e+37,200,5.1,132.06,0.53,0.674,0.008,  3.314(40)e+37
196,20210928,59484.83083787700000000000 ,411.51,6.76,76.51,0.16,0.517,0.001,  1.447(17)e+38,  5.788(67)e+37,450,5.87,83.51,0.58,0.49,0.006,  5.426(64)e+37
197,20210928,59484.83135363900000000000 ,411.51,2.55,27.04,3.73,0.069,0.01,  1.931(28)e+37, 7.725(112)e+36,200,2.13,63.65,4.09,0.136,0.002,  6.673(90)e+36
198,20210928,59484.83190420400000000000 ,411.51,9.63,352.86,0.68,3.397,0.007, 9.508(112)e+38,  3.803(45)e+38,500,8.65,353.02,1.78,3.054,0.036,  3.755(44)e+38
199,20210928,59484.83202233100000000000 ,411.51,8.46,184.56,0.08,1.561,0.001,  4.369(50)e+38,  1.748(20)e+38,400,7.62,224.4,0.36,1.711,0.02,  1.682(20)e+38
200,20210928,59484.83204119900000000000 ,411.51,4.63,134.94,0.69,0.625,0.003,  1.749(20)e+38,  6.998(78)e+37,250,4.24,281.44,1.34,1.192,0.014,  7.328(84)e+37
201,20210928,59484.83208738900000000000 ,411.51,3.26,11.95,0.35,0.039,0.001,   1.092(1)e+37,   4.366(1)e+36,200,3.62,21.64,0.48,0.078,0.001,  3.851(45)e+36
202,20210928,59484.83249285500000000000 ,411.51,7.55,14.84,2.58,0.112,0.019,  3.135(56)e+37,  1.254(22)e+37,300,6.51,28.11,2.58,0.183,0.003,  1.350(20)e+37
203,20210928,59484.83273632400000000000 ,411.51,3.5,17.41,2.11,0.061,0.007,  1.707(28)e+37, 6.830(112)e+36,100,4.85,57.12,3.85,0.277,0.004,  6.807(90)e+36
204,20210928,59484.83286701300000000000 ,411.51,8.91,25.71,1.95,0.229,0.017,  6.410(84)e+37,  2.564(34)e+37,400,8.53,30.31,2.52,0.259,0.003,  2.544(27)e+37
205,20210928,59484.83286792300000000000 ,411.51,4.52,17.24,1.14,0.078,0.005,  2.183(28)e+37, 8.733(112)e+36,200,3.78,47.76,2.1,0.18,0.002,  8.867(90)e+36
206,20210928,59484.83305453800000000000 ,411.51,5.68,13.57,9.24,0.077,0.052,  2.155(28)e+37, 8.621(112)e+36,200,4.95,34.96,9.25,0.173,0.002,  8.509(90)e+36
207,20210928,59484.83307657900000000000 ,411.51,4.4,18.66,1.38,0.082,0.006,  2.295(28)e+37, 9.181(112)e+36,300,3.98,32.53,2.33,0.129,0.002, 9.539(134)e+36
208,20210928,59484.83308054000000000000 ,411.51,5.72,527.52,3.72,3.017,0.021,  8.445(95)e+38,  3.378(38)e+38,450,5.27,558.63,5.22,2.942,0.034,  3.255(37)e+38
209,20210928,59484.83323115600000000000 ,411.51,4.48,333.91,1.66,1.495,0.007,  4.184(48)e+38,  1.674(19)e+38,450,3.67,429.7,4.28,1.576,0.018,  1.744(19)e+38
210,20210928,59484.83331299200000000000 ,411.51,3.72,10.22,0.08,0.038,0.001,   1.064(1)e+37,   4.254(1)e+36,300,4.38,14.36,0.37,0.063,0.001,  4.635(67)e+36
211,20210928,59484.83331418500000000000 ,411.51,5.64,32.64,0.97,0.184,0.005,  5.150(56)e+37,  2.060(22)e+37,200,5.67,71.78,1.26,0.407,0.005,  2.002(22)e+37
212,20210928,59484.83415524000000000000 ,411.51,5.23,77.32,2.17,0.404,0.011,  1.131(14)e+38,  4.523(56)e+37,500,4.75,77.31,3.33,0.367,0.005,  4.512(56)e+37
213,20210928,59484.83476374100000000000 ,411.51,7.98,114.72,1.97,0.916,0.016,  2.564(28)e+38,  1.026(11)e+38,300,7.25,215.51,2.02,1.562,0.018,  1.152(13)e+38
214,20210928,59484.83489395500000000000 ,411.51,14.78,166.52,1.24,2.462,0.018,  6.891(78)e+38,  2.756(31)e+38,400,7.64,352.41,2.72,2.694,0.031,  2.649(30)e+38
215,20210928,59484.83524509200000000000 ,411.51,10.68,211.82,0.3,2.263,0.003,  6.334(73)e+38,  2.534(29)e+38,500,5.47,387.41,1.55,2.117,0.024,  2.603(30)e+38
216,20210928,59484.83524608500000000000 ,411.51,3.95,29.6,0.88,0.117,0.003,  3.275(28)e+37,  1.310(11)e+37,200,3.56,81.94,0.93,0.291,0.004,  1.433(18)e+37
217,20210928,59484.83535907200000000000 ,411.51,4.42,680.57,0.34,3.008,0.002,  8.420(95)e+38,  3.368(38)e+38,450,4.02,721.88,1.14,2.9,0.033,  3.208(36)e+38
218,20210928,59484.83561505200000000000 ,411.51,3.75,6.66,0.11,0.025,0.001,   6.998(1)e+36,   2.799(1)e+36,50,2.49,44.32,0.42,0.11,0.002,  1.355(22)e+36
219,20210928,59484.83561551700000000000 ,411.51,6.69,18.98,0.2,0.127,0.001,  3.555(28)e+37,  1.422(11)e+37,100,6.54,84.14,0.48,0.55,0.007,  1.352(18)e+37
220,20210928,59484.83561578500000000000 ,411.51,8.13,33.93,0.22,0.276,0.002,  7.725(84)e+37,  3.090(34)e+37,150,7.7,106.23,0.61,0.818,0.009,  3.016(34)e+37
221,20210928,59484.83594068700000000000 ,411.51,4.13,124.38,0.11,0.514,0.001,  1.439(17)e+38,  5.755(67)e+37,500,3.57,124.59,0.35,0.445,0.005,  5.468(65)e+37
222,20210928,59484.83594151500000000000 ,411.51,5.52,71.56,0.14,0.395,0.001,  1.106(11)e+38,  4.422(45)e+37,300,4.64,143.93,0.9,0.668,0.007,  4.925(54)e+37
223,20210928,59484.83602513100000000000 ,411.51,3.11,10.62,0.58,0.033,0.002,   9.237(1)e+36,   3.695(1)e+36,150,2.8,26.01,1.08,0.073,0.001,  2.687(34)e+36
224,20210928,59484.83620183100000000000 ,411.51,7.09,189.71,0.38,1.345,0.003,  3.765(42)e+38,  1.506(17)e+38,400,6.46,242.76,0.91,1.567,0.017,  1.541(17)e+38
225,20210928,59484.83628507900000000000 ,411.51,5.22,43.49,0.39,0.227,0.002,  6.354(84)e+37,  2.542(34)e+37,300,4.52,87.33,1.06,0.394,0.005,  2.909(34)e+37
226,20210928,59484.83633488100000000000 ,411.51,8.27,50.54,3.28,0.418,0.027,  1.170(14)e+38,  4.680(56)e+37,300,8.01,75.95,5.22,0.609,0.007,  4.488(49)e+37
227,20210928,59484.83634152600000000000 ,411.51,4.39,30.78,2.85,0.135,0.013,  3.779(56)e+37,  1.511(22)e+37,200,4.18,75.44,2.86,0.315,0.004,  1.550(18)e+37
228,20210928,59484.83652484400000000000 ,411.51,10.83,10.71,3.98,0.116,0.043,  3.247(28)e+37,  1.299(11)e+37,200,7.57,33.45,3.98,0.253,0.003,  1.245(13)e+37
229,20210928,59484.83653049400000000000 ,411.51,8.89,197.66,0.31,1.757,0.003,  4.918(53)e+38,  1.967(21)e+38,250,8.06,468.96,0.66,3.779,0.044,  2.323(27)e+38
230,20210928,59484.83665158500000000000 ,411.51,2.46,8.95,0.3,0.022,0.001,   6.158(1)e+36,   2.463(1)e+36,200,3.55,20.26,1.53,0.072,0.001,  3.538(45)e+36
231,20210928,59484.83682072400000000000 ,411.51,11.52,67.71,0.79,0.78,0.009,  2.183(25)e+38, 8.733(101)e+37,250,10.29,144.84,1.75,1.491,0.017, 9.164(106)e+37
232,20210928,59484.83690670900000000000 ,411.51,7.32,52.6,1.04,0.385,0.008,  1.078(11)e+38,  4.310(45)e+37,450,6.77,56.73,2.25,0.384,0.005,  4.252(50)e+37
233,20210928,59484.83697262300000000000 ,411.51,3.4,19.39,0.74,0.066,0.003,  1.847(28)e+37, 7.389(112)e+36,150,3.7,47.24,1.92,0.175,0.002,  6.449(67)e+36
234,20210928,59484.83705609700000000000 ,411.51,5.16,30.02,0.33,0.155,0.002,  4.338(56)e+37,  1.735(22)e+37,150,4.82,92.2,2.14,0.444,0.005,  1.639(20)e+37
235,20210928,59484.83706228500000000000 ,411.51,6.51,33.31,0.07,0.217,0.001,  6.074(56)e+37,  2.430(22)e+37,200,6.57,77.79,0.34,0.511,0.005,  2.512(27)e+37
236,20210928,59484.83728829300000000000 ,411.51,6.76,276.35,0.12,1.868,0.001,  5.229(59)e+38,  2.091(24)e+38,350,6.23,444.45,0.24,2.769,0.031,  2.382(27)e+38
237,20210928,59484.83754201300000000000 ,411.51,7.05,14.19,0.35,0.1,0.002,  2.799(28)e+37,  1.120(11)e+37,200,6.78,34.11,0.6,0.231,0.003,  1.138(13)e+37
238,20210928,59484.83879852800000000000 ,411.51,3.78,198.79,0.15,0.751,0.001,  2.102(22)e+38,  8.408(90)e+37,450,3.37,218.25,0.83,0.736,0.008,  8.142(91)e+37
239,20210928,59484.83883011900000000000 ,411.51,2.03,6.39,0.18,0.013,0.001,   3.639(1)e+36,   1.456(1)e+36,100,1.7,29.98,0.49,0.051,0.001,  1.254(22)e+36
240,20210928,59484.83883045200000000000 ,411.51,2.78,7.2,0.1,0.02,0.001,   5.598(1)e+36,   2.239(1)e+36,100,4.9,34.94,0.54,0.171,0.003,  4.210(67)e+36
241,20210928,59484.83883075700000000000 ,411.51,2.56,14.83,1.99,0.038,0.005,   1.064(1)e+37,   4.254(1)e+36,200,2.42,36.14,2.11,0.087,0.001,  4.299(45)e+36
242,20210928,59484.83883109300000000000 ,411.51,8.47,126.3,0.56,1.07,0.005,  2.995(34)e+38,  1.198(13)e+38,300,6.24,272.49,1.16,1.7,0.019,  1.254(14)e+38
243,20210928,59484.83915218200000000000 ,411.51,2.55,40.41,0.45,0.103,0.001,  2.883(28)e+37,  1.153(11)e+37,200,2.36,92.02,0.68,0.217,0.003,  1.066(13)e+37
244,20210928,59484.83926457700000000000 ,411.51,4.06,10.84,0.28,0.044,0.001,   1.232(1)e+37,   4.926(1)e+36,100,4.86,37.12,0.57,0.18,0.003,  4.434(67)e+36
245,20210928,59484.83926986700000000000 ,411.51,2.6,9.22,0.65,0.024,0.002,   6.718(1)e+36,   2.687(1)e+36,200,3.41,17.88,1.99,0.061,0.001,  3.000(45)e+36
246,20210928,59484.83955303600000000000 ,411.51,8.28,312.52,1.36,2.588,0.011,  7.244(78)e+38,  2.898(31)e+38,500,7.51,312.39,2.98,2.347,0.026,  2.885(31)e+38
247,20210928,59484.83990331000000000000 ,411.51,5.8,60,1.78,0.348,0.01, 9.741(112)e+37,  3.896(45)e+37,350,5.47,83.1,3.8,0.454,0.005,  3.911(39)e+37
248,20210928,59484.84034994600000000000 ,411.51,3.53,37.93,0.16,0.134,0.001,  3.751(28)e+37,  1.500(11)e+37,200,3.32,101.26,0.25,0.336,0.004,  1.652(18)e+37
249,20210928,59484.84070491100000000000 ,411.51,4.25,72.98,0.41,0.31,0.002,  8.677(84)e+37,  3.471(34)e+37,300,4.28,112.27,1.02,0.481,0.005,  3.547(40)e+37
250,20210928,59484.84073960500000000000 ,411.51,3.36,12.21,0.28,0.041,0.001,   1.148(1)e+37,   4.590(1)e+36,150,2.55,31.39,0.63,0.08,0.001,  2.956(34)e+36
251,20210928,59484.84074034200000000000 ,411.51,4.1,12.67,0.66,0.052,0.003,  1.456(28)e+37, 5.822(112)e+36,250,3.79,24.76,1.44,0.094,0.001,  5.766(56)e+36
252,20210928,59484.84074065200000000000 ,411.51,2.4,19.6,0.5,0.047,0.001,  1.316(28)e+37, 5.262(112)e+36,200,2.16,50.27,1.65,0.108,0.001,  5.329(45)e+36
253,20210928,59484.84076396700000000000 ,411.51,4.95,111.39,1.02,0.551,0.005,  1.542(17)e+38,  6.169(67)e+37,200,4.49,279.2,1.56,1.253,0.014,  6.162(67)e+37
254,20210928,59484.84084956300000000000 ,411.51,5.08,21.67,0.25,0.11,0.001,  3.079(28)e+37,  1.232(11)e+37,400,4.51,25.86,0.84,0.117,0.001,   1.146(9)e+37
255,20210928,59484.84099897800000000000 ,411.51,7.47,124.83,0.29,0.933,0.002,  2.612(28)e+38,  1.045(11)e+38,200,6.49,324.44,0.71,2.106,0.024,  1.035(12)e+38
256,20210928,59484.84127503100000000000 ,411.51,5.41,22.75,0.18,0.123,0.001,  3.443(28)e+37,  1.377(11)e+37,100,5.98,90.35,0.34,0.54,0.007,  1.328(18)e+37
257,20210928,59484.84168189500000000000 ,411.51,6.03,94.84,0.32,0.572,0.002,  1.601(17)e+38,  6.404(67)e+37,250,4.63,235.81,1.77,1.092,0.012,  6.712(72)e+37
258,20210928,59484.84168361900000000000 ,411.51,10.69,131.58,0.89,1.407,0.01,  3.938(42)e+38,  1.575(17)e+38,200,9.75,352.2,1.77,3.433,0.037,  1.688(18)e+38
259,20210928,59484.84169781500000000000 ,411.51,6.63,12.21,2.87,0.081,0.019,  2.267(28)e+37, 9.069(112)e+36,350,4.46,19.19,3.14,0.086,0.001,  7.367(78)e+36
260,20210928,59484.84172798100000000000 ,411.51,3.2,98,0.18,0.314,0.001,  8.789(84)e+37,  3.516(34)e+37,400,2.87,117.25,0.44,0.336,0.004,  3.305(36)e+37
261,20210928,59484.84180096400000000000 ,411.51,6.19,53.12,0.3,0.329,0.002, 9.209(112)e+37,  3.684(45)e+37,450,5.58,56.96,1.63,0.318,0.004,  3.517(40)e+37
262,20210928,59484.84199474400000000000 ,411.51,8.66,235.75,0.07,2.041,0.001,  5.713(62)e+38,  2.285(25)e+38,350,5.99,443.85,0.21,2.658,0.028,  2.288(24)e+38
263,20210928,59484.84199558200000000000 ,411.51,4.65,13.75,0.26,0.064,0.001,  1.791(28)e+37, 7.166(112)e+36,200,3.95,33.68,0.47,0.133,0.002,  6.538(90)e+36
264,20210928,59484.84205238100000000000 ,411.51,7.22,104.43,0.61,0.754,0.004,  2.110(22)e+38,  8.442(90)e+37,300,4.5,269.57,1.6,1.214,0.013,  8.957(94)e+37
265,20210928,59484.84210740100000000000 ,411.51,13.08,493.7,0.43,6.456,0.006,  1.807(19)e+39,  7.228(76)e+38,350,12.38,623.84,0.89,7.721,0.081,  6.644(70)e+38
