BurstID,  ObsDate,             MJD,        DM,     Width,        PeakFlux,        PeakFlux_error,          Fluence,          Fluence_error,       Energy_c,       Energy_w, BandWidth,        Width,         PeakFlux,         PeakFlux_error,         Fluence,         Fluence_error,       Energy_w
       ,         ,     Barycentric,          , Full Band,       Full Band,       Full Band,        Full Band,        Full Band,      Full Band,      Full Band,          , Limited Band,     Limited Band,     Limited Band,    Limited Band,    Limited Band,   Limited Band
       ,         ,                , (pc/cm^3),      (ms),           (mJy),           (mJy),          (Jy ms),          (Jy ms),          (erg),          (erg),     (MHz),         (ms),            (mJy),            (mJy),         (Jy ms),         (Jy ms),          (erg)
30,20210926,59482.97881923600000000000 ,412.97,3.79,7.13,1.32,0.027,0.005,   7.557(1)e+36,   3.023(1)e+36,100,7.42,24.32,2.19,0.18,0.003,  4.434(67)e+36
31,20210926,59482.98045912900000000000 ,412.97,9.6,382.98,0.99,3.678,0.01,  1.029(13)e+39,  4.118(50)e+38,350,8.41,648.75,1.05,5.454,0.066,  4.694(57)e+38
32,20210926,59482.98045962900000000000 ,412.97,7.48,41.3,0.18,0.309,0.001, 8.649(112)e+37,  3.460(45)e+37,200,6.33,81.25,0.24,0.515,0.006,  2.530(31)e+37
33,20210926,59482.98112486600000000000 ,412.97,4.42,12.67,0.12,0.056,0.001,  1.567(28)e+37, 6.270(112)e+36,200,4.92,27.04,0.22,0.133,0.002,  6.538(90)e+36
34,20210926,59482.98135373900000000000 ,412.97,5.51,33,0.09,0.182,0.001,  5.094(56)e+37,  2.038(22)e+37,400,5.23,39.85,0.36,0.209,0.003,  2.051(27)e+37
35,20210926,59482.98283608500000000000 ,412.97,5.53,11.04,0.86,0.061,0.005,  1.707(28)e+37, 6.830(112)e+36,100,5.3,43.64,1.44,0.231,0.004,  5.688(90)e+36
36,20210927,59483.86468655400000000000 ,412.18,8.68,43.66,4.69,0.379,0.041,   1.061(8)e+38,  4.243(34)e+37,300,4.25,126.74,7.79,0.539,0.005,  3.974(34)e+37
37,20210927,59483.86523519700000000000 ,412.18,3.18,7.24,0.89,0.023,0.003,   6.438(1)e+36,   2.575(1)e+36,50,3.48,29.35,1.18,0.102,0.001,  1.254(11)e+36
38,20210927,59483.86609413800000000000 ,412.18,5.09,42.79,0.51,0.218,0.003,  6.102(56)e+37,  2.441(22)e+37,300,4.3,74.26,1.02,0.32,0.003,  2.358(20)e+37
39,20210927,59483.86609514800000000000 ,412.18,3.39,10.62,0.16,0.036,0.001,   1.008(1)e+37,   4.031(1)e+36,100,3.16,42.64,0.34,0.135,0.002,  3.314(45)e+36
